 ,Label,Area,Mean,IntDen,RawIntDen
1,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_norapa001_NoNucleus_Ch2.tif:0622-0667,514.329,16.735,8607.549,2029061.000
2,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_norapa002_NoNucleus_Ch2.tif:0433-0884,345.641,18.425,6368.564,1501264.000
3,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_norapa003_NoNucleus_Ch2.tif:0690-0585,508.102,19.969,10146.320,2391796.000
4,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_norapa004_NoNucleus_Ch2.tif:0691-0713,661.048,29.805,19702.288,4644428.000
5,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_norapa005_NoNucleus_Ch2.tif:0637-0628,529.635,29.620,15687.523,3698026.000
6,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_norapa_NoNucleus_Ch2.tif:0648-0644,240.525,32.148,7732.401,1822762.000
7,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_rapa004_NoNucleus_Ch2.tif:0364-0578,278.136,15.540,4322.264,1018889.000
8,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_rapa004_NoNucleus_Ch2.tif:0488-0816,316.115,14.089,4453.711,1049875.000
9,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_rapa004_NoNucleus_Ch2.tif:0637-0606,323.955,17.916,5804.131,1368210.000
10,241008_LD451_HCT116_FKBPGFPSec61bnoanchor_rapa007_NoNucleus_Ch2.tif:0824-0731,334.289,7.605,2542.320,599302.000
11,241008_LD451_HCT116_FKBPGFPSec61bwithanchor_norapa001_NoNucleus_Ch2.tif:0580-0656,363.886,56.495,20557.561,4846042.000
12,241008_LD451_HCT116_FKBPGFPSec61bwithanchor_norapa002_NoNucleus_Ch2.tif:0644-0647,336.503,29.967,10083.986,2377102.000
13,241008_LD451_HCT116_FKBPGFPSec61bwithanchor_norapa003_NoNucleus_Ch2.tif:0639-0637,532.719,25.915,13805.449,3254364.000
14,241008_LD451_HCT116_FKBPGFPSec61bwithanchor_norapa004_NoNucleus_Ch2.tif:0658-0666,477.618,22.218,10611.563,2501468.000
15,241008_LD451_HCT116_FKBPGFPSec61bwithanchor_norapa005_NoNucleus_Ch2.tif:0733-0759,476.252,9.460,4505.558,1062097.000
16,241008_LD451_HCT116_FKBPGFPSec61bwithanchor_norapa005_NoNucleus_Ch2.tif:0523-0456,456.377,9.273,4231.924,997593.000
17,241008_LD451_HCT116_FKBPGFPSec61bwithanchor_norapa007_NoNucleus_Ch2.tif:0611-0635,289.886,9.825,2848.093,671382.000
18,241008_LD451_HCT116_FKBPGFPSec61bwithanchor_norapa_NoNucleus_Ch2.tif:0634-0608,640.189,8.238,5273.928,1243225.000
