path,obj1,total1,obj2,total2,ch12,ch21
LD347n2/231207_LD347n2_6DG5MAPPER_dish-450box_peaks_clust_ch1.tif,30,3600,0,0,0,0
LD347n2/231207_LD347n2_6DG5MAPPER_dish001-600box_peaks_clust_ch1.tif,181,7053,0,0,0,0
LD347n2/231207_LD347n2_6DG5MAPPER_dish002-600box_peaks_clust_ch1.tif,122,15657,0,0,0,0
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish2003-600box_peaks_clust_ch1.tif,339,29628,63,11154,50,45
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish2after-600box_peaks_clust_ch1.tif,277,24307,396,39379,270,235
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish2002-700box_peaks_clust_ch1.tif,193,20995,20,2108,2,2
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish2after001-700box_peaks_clust_ch1.tif,140,9700,415,28530,129,119
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3002-600box_peaks_clust_ch1.tif,513,34577,3,136,1,1
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3rapa002-600box_peaks_clust_ch1.tif,366,31202,342,27831,202,196
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3003-800box_peaks_clust_ch1.tif,462,40723,47,7344,24,21
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3rapa003-800box_peaks_clust_ch1.tif,309,25777,473,42049,148,129
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish1001-700box_peaks_clust_ch1.tif,323,25814,2,111,0,0
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish1after001-700box_peaks_clust_ch1.tif,173,15214,142,11618,118,100
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3-600box_peaks_clust_ch1.tif,319,24648,3,606,1,1
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3rapa001-600box_peaks_clust_ch1.tif,154,6662,74,4858,77,71
