X	Y	C	Z	T	Intensity	BG	MX
410.500	228.167	3	1	1	116.544	104.277	204.154
411.470	228.409	3	1	1	117.433	104.277	204.154
412.440	228.652	3	1	1	118.405	104.277	204.154
413.298	229.167	3	1	1	118.276	104.277	204.154
413.500	230.146	3	1	1	117.986	104.277	204.154
413.500	231.146	3	1	1	116.364	104.277	204.154
413.500	232.146	3	1	1	117.426	104.277	204.154
413.167	233.089	3	1	1	114.289	104.277	204.154
412.500	233.834	3	1	1	113.498	104.277	204.154
411.754	234.500	3	1	1	117.188	104.277	204.154
410.811	234.833	3	1	1	116.809	104.277	204.154
409.811	234.833	3	1	1	112.973	104.277	204.154
408.811	234.833	3	1	1	116.621	104.277	204.154
407.966	234.299	3	1	1	111.568	104.277	204.154
407.445	233.445	3	1	1	115.225	104.277	204.154
406.925	232.591	3	1	1	117.735	104.277	204.154
406.634	231.634	3	1	1	118.558	104.277	204.154
406.500	230.643	3	1	1	117.237	104.277	204.154
406.833	229.701	3	1	1	115.318	104.277	204.154
407.331	228.833	3	1	1	112.048	104.277	204.154
408.274	228.500	3	1	1	109.693	104.277	204.154
409.274	228.500	3	1	1	115.562	104.277	204.154
