X	Y	C	Z	T	Intensity	BG	MX
413.833	427.167	1	1	1	266.186	113.257	133.870
414.776	426.833	1	1	1	280.827	113.257	133.870
415.776	426.833	1	1	1	289.074	113.257	133.870
416.746	427.079	1	1	1	339.381	113.257	133.870
417.500	427.735	1	1	1	340.613	113.257	133.870
418.156	428.490	1	1	1	347.743	113.257	133.870
418.167	429.490	1	1	1	350.103	113.257	133.870
418.167	430.490	1	1	1	350.134	113.257	133.870
417.833	431.432	1	1	1	383.580	113.257	133.870
417.006	431.994	1	1	1	360.179	113.257	133.870
416.143	432.500	1	1	1	345.354	113.257	133.870
415.143	432.500	1	1	1	307.754	113.257	133.870
414.143	432.500	1	1	1	292.316	113.257	133.870
413.201	432.167	1	1	1	287.072	113.257	133.870
412.258	431.833	1	1	1	276.388	113.257	133.870
411.512	431.167	1	1	1	284.363	113.257	133.870
411.167	430.228	1	1	1	294.321	113.257	133.870
411.167	429.228	1	1	1	295.119	113.257	133.870
411.852	428.500	1	1	1	302.632	113.257	133.870
