X	Y	C	Z	T	Intensity	BG	MX
251	191	1	1	1	131.790	110.339	115.310
252	191	1	1	1	135.068	110.339	115.310
252	192	1	1	1	137.262	110.339	115.310
253	192	1	1	1	139.938	110.339	115.310
253	193	1	1	1	151.940	110.339	115.310
253	194	1	1	1	151.964	110.339	115.310
254	194	1	1	1	156.462	110.339	115.310
254	195	1	1	1	144.056	110.339	115.310
254	196	1	1	1	151.737	110.339	115.310
254	197	1	1	1	149.112	110.339	115.310
254	198	1	1	1	139.771	110.339	115.310
253	198	1	1	1	145.643	110.339	115.310
253	199	1	1	1	138.427	110.339	115.310
252	199	1	1	1	130.786	110.339	115.310
251	199	1	1	1	131.154	110.339	115.310
250	199	1	1	1	124.100	110.339	115.310
250	198	1	1	1	126.364	110.339	115.310
249	198	1	1	1	116.890	110.339	115.310
248	198	1	1	1	126.062	110.339	115.310
248	197	1	1	1	117.212	110.339	115.310
248	196	1	1	1	110.720	110.339	115.310
248	195	1	1	1	118.651	110.339	115.310
249	195	1	1	1	120.527	110.339	115.310
