X	Y	C	Z	T	Intensity	BG	MX
205.500	284.167	1	1	1	221.624	109.304	126.542
206.021	285.021	1	1	1	236.714	109.304	126.542
206.728	285.728	1	1	1	266.648	109.304	126.542
206.833	286.722	1	1	1	266.263	109.304	126.542
206.833	287.722	1	1	1	246.999	109.304	126.542
206.833	288.722	1	1	1	220.981	109.304	126.542
206.167	289.467	1	1	1	204.134	109.304	126.542
205.167	289.500	1	1	1	198.155	109.304	126.542
204.167	289.500	1	1	1	190.720	109.304	126.542
203.210	289.210	1	1	1	186.509	109.304	126.542
202.500	288.506	1	1	1	174.669	109.304	126.542
202.167	287.563	1	1	1	195.260	109.304	126.542
201.833	286.620	1	1	1	196.353	109.304	126.542
202.478	285.856	1	1	1	209.670	109.304	126.542
