X	Y	C	Z	T	Intensity	BG	MX
180.167	504.833	3	1	1	107.104	102.551	180.176
181.109	505.167	3	1	1	108.151	102.551	180.176
182.052	505.500	3	1	1	112.384	102.551	180.176
182.995	505.833	3	1	1	111.277	102.551	180.176
183.833	506.379	3	1	1	108.130	102.551	180.176
184.500	507.124	3	1	1	108.064	102.551	180.176
184.833	508.067	3	1	1	108.394	102.551	180.176
184.833	509.067	3	1	1	113.518	102.551	180.176
184.833	510.067	3	1	1	104.925	102.551	180.176
184.833	511.067	3	1	1	111.402	102.551	180.176
184.833	512.067	3	1	1	108.504	102.551	180.176
184.622	513.044	3	1	1	104.355	102.551	180.176
184.167	513.934	3	1	1	104.494	102.551	180.176
183.585	514.748	3	1	1	106.840	102.551	180.176
182.833	515.407	3	1	1	106.780	102.551	180.176
181.929	515.833	3	1	1	105.632	102.551	180.176
180.952	516.048	3	1	1	106.702	102.551	180.176
179.959	516.167	3	1	1	107.649	102.551	180.176
178.959	516.167	3	1	1	105.693	102.551	180.176
177.959	516.167	3	1	1	104.070	102.551	180.176
177.016	516.500	3	1	1	104.360	102.551	180.176
176.073	516.167	3	1	1	105.560	102.551	180.176
175.073	516.167	3	1	1	109.400	102.551	180.176
174.257	515.590	3	1	1	110.158	102.551	180.176
173.350	515.167	3	1	1	109.944	102.551	180.176
172.434	514.767	3	1	1	105.200	102.551	180.176
171.727	514.060	3	1	1	102.826	102.551	180.176
171.500	513.086	3	1	1	104.154	102.551	180.176
171.500	512.086	3	1	1	107.960	102.551	180.176
171.500	511.086	3	1	1	111.218	102.551	180.176
171.500	510.086	3	1	1	108.636	102.551	180.176
171.833	509.143	3	1	1	109.918	102.551	180.176
172.049	508.167	3	1	1	111.539	102.551	180.176
172.640	507.360	3	1	1	108.696	102.551	180.176
173.490	506.833	3	1	1	110.022	102.551	180.176
174.235	506.167	3	1	1	110.794	102.551	180.176
175.178	505.833	3	1	1	108.417	102.551	180.176
176.121	505.500	3	1	1	110.236	102.551	180.176
177.064	505.167	3	1	1	110.911	102.551	180.176
