X	Y	C	Z	T	Intensity	BG	MX
383.167	464.167	3	1	1	110.681	102.639	131.533
384.109	464.500	3	1	1	109.620	102.639	131.533
385.109	464.500	3	1	1	113.570	102.639	131.533
386.052	464.833	3	1	1	107.208	102.639	131.533
386.995	465.167	3	1	1	108.207	102.639	131.533
387.908	465.575	3	1	1	108.062	102.639	131.533
388.762	466.095	3	1	1	106.825	102.639	131.533
389.437	466.833	3	1	1	107.599	102.639	131.533
389.996	467.662	3	1	1	107.116	102.639	131.533
390.703	468.370	3	1	1	109.694	102.639	131.533
391.167	469.255	3	1	1	110.317	102.639	131.533
391.500	470.198	3	1	1	107.911	102.639	131.533
391.833	471.141	3	1	1	105.618	102.639	131.533
392.167	472.084	3	1	1	106.807	102.639	131.533
392.167	473.084	3	1	1	106.998	102.639	131.533
392.167	474.084	3	1	1	101.015	102.639	131.533
392.167	475.084	3	1	1	106.992	102.639	131.533
392.167	476.084	3	1	1	113.218	102.639	131.533
392.167	477.084	3	1	1	113.154	102.639	131.533
392.167	478.084	3	1	1	112.814	102.639	131.533
392.167	479.084	3	1	1	110.365	102.639	131.533
392.167	480.084	3	1	1	106.163	102.639	131.533
391.833	481.027	3	1	1	111.104	102.639	131.533
391.500	481.969	3	1	1	109.144	102.639	131.533
390.898	482.768	3	1	1	109.212	102.639	131.533
390.167	483.450	3	1	1	105.119	102.639	131.533
389.332	484.001	3	1	1	106.165	102.639	131.533
388.466	484.500	3	1	1	109.177	102.639	131.533
387.523	484.833	3	1	1	106.890	102.639	131.533
386.561	485.106	3	1	1	108.061	102.639	131.533
385.604	485.396	3	1	1	111.964	102.639	131.533
384.609	485.500	3	1	1	110.851	102.639	131.533
383.666	485.833	3	1	1	107.260	102.639	131.533
382.666	485.833	3	1	1	109.517	102.639	131.533
381.666	485.833	3	1	1	109.726	102.639	131.533
380.666	485.833	3	1	1	112.725	102.639	131.533
379.666	485.833	3	1	1	111.801	102.639	131.533
378.666	485.833	3	1	1	111.755	102.639	131.533
377.695	485.597	3	1	1	116.385	102.639	131.533
376.718	485.384	3	1	1	105.299	102.639	131.533
375.864	484.864	3	1	1	107.030	102.639	131.533
375.157	484.157	3	1	1	110.863	102.639	131.533
374.500	483.402	3	1	1	110.317	102.639	131.533
373.921	482.587	3	1	1	111.742	102.639	131.533
373.400	481.733	3	1	1	108.344	102.639	131.533
372.965	480.833	3	1	1	109.460	102.639	131.533
372.578	479.911	3	1	1	108.933	102.639	131.533
372.500	478.914	3	1	1	109.167	102.639	131.533
372.167	477.971	3	1	1	106.523	102.639	131.533
372.167	476.971	3	1	1	112.400	102.639	131.533
371.833	476.029	3	1	1	113.397	102.639	131.533
371.833	475.029	3	1	1	115.882	102.639	131.533
371.833	474.029	3	1	1	112.014	102.639	131.533
371.833	473.029	3	1	1	116.239	102.639	131.533
371.833	472.029	3	1	1	118.007	102.639	131.533
372.167	471.086	3	1	1	111.827	102.639	131.533
372.245	470.089	3	1	1	115.423	102.639	131.533
372.833	469.280	3	1	1	114.779	102.639	131.533
373.481	468.519	3	1	1	111.732	102.639	131.533
374.209	467.833	3	1	1	112.121	102.639	131.533
375.152	467.500	3	1	1	115.494	102.639	131.533
375.898	466.833	3	1	1	113.194	102.639	131.533
376.779	466.361	3	1	1	113.254	102.639	131.533
377.698	465.968	3	1	1	109.446	102.639	131.533
378.582	465.500	3	1	1	106.429	102.639	131.533
379.525	465.167	3	1	1	110.578	102.639	131.533
