X	Y	C	Z	T	Intensity	BG	MX
264.500	391.833	3	1	1	113.856	102.646	188.893
265.354	392.354	3	1	1	117.936	102.646	188.893
266.231	392.833	3	1	1	115.629	102.646	188.893
267.060	393.393	3	1	1	113.795	102.646	188.893
267.833	394.027	3	1	1	110.451	102.646	188.893
268.167	394.970	3	1	1	108.204	102.646	188.893
268.557	395.891	3	1	1	114.235	102.646	188.893
268.833	396.852	3	1	1	109.490	102.646	188.893
268.815	397.852	3	1	1	107.453	102.646	188.893
268.375	398.750	3	1	1	111.078	102.646	188.893
268.066	399.701	3	1	1	110.704	102.646	188.893
267.500	400.525	3	1	1	111.578	102.646	188.893
266.964	401.369	3	1	1	112.561	102.646	188.893
266.257	402.076	3	1	1	117.731	102.646	188.893
265.550	402.783	3	1	1	116.000	102.646	188.893
264.745	403.377	3	1	1	115.469	102.646	188.893
263.855	403.833	3	1	1	111.937	102.646	188.893
262.913	404.167	3	1	1	116.481	102.646	188.893
261.970	404.500	3	1	1	113.574	102.646	188.893
260.986	404.320	3	1	1	111.787	102.646	188.893
260.112	403.833	3	1	1	111.753	102.646	188.893
259.169	403.502	3	1	1	110.748	102.646	188.893
258.315	402.982	3	1	1	106.438	102.646	188.893
257.439	402.500	3	1	1	106.535	102.646	188.893
256.693	401.833	3	1	1	108.129	102.646	188.893
256.060	401.060	3	1	1	109.793	102.646	188.893
255.500	400.231	3	1	1	111.988	102.646	188.893
255.167	399.288	3	1	1	113.484	102.646	188.893
254.833	398.345	3	1	1	110.518	102.646	188.893
255.236	397.430	3	1	1	110.442	102.646	188.893
255.527	396.473	3	1	1	111.789	102.646	188.893
256.167	395.705	3	1	1	110.725	102.646	188.893
256.551	394.782	3	1	1	111.426	102.646	188.893
257.259	394.075	3	1	1	111.622	102.646	188.893
257.966	393.368	3	1	1	112.136	102.646	188.893
258.811	392.833	3	1	1	112.166	102.646	188.893
259.556	392.167	3	1	1	110.879	102.646	188.893
260.499	391.833	3	1	1	116.092	102.646	188.893
261.499	391.833	3	1	1	113.835	102.646	188.893
