X	Y	C	Z	T	Intensity	BG	MX
391.500	302.500	3	1	1	118.661	104.119	166.365
392.500	302.500	3	1	1	119.247	104.119	166.365
393.411	302.911	3	1	1	118.076	104.119	166.365
394.323	303.323	3	1	1	110.382	104.119	166.365
395.000	304.059	3	1	1	115.465	104.119	166.365
395.500	304.925	3	1	1	120.666	104.119	166.365
396.000	305.791	3	1	1	119.061	104.119	166.365
396.000	306.791	3	1	1	119.850	104.119	166.365
396.000	307.791	3	1	1	115.870	104.119	166.365
395.500	308.657	3	1	1	111.930	104.119	166.365
395.000	309.523	3	1	1	116.286	104.119	166.365
394.121	310.000	3	1	1	118.009	104.119	166.365
393.255	310.500	3	1	1	121.961	104.119	166.365
392.389	311.000	3	1	1	127.149	104.119	166.365
391.389	311.000	3	1	1	131.575	104.119	166.365
390.389	311.000	3	1	1	133.676	104.119	166.365
389.389	311.000	3	1	1	140.915	104.119	166.365
388.523	310.500	3	1	1	141.657	104.119	166.365
388.096	309.596	3	1	1	133.917	104.119	166.365
388.000	308.600	3	1	1	134.713	104.119	166.365
387.500	307.734	3	1	1	129.454	104.119	166.365
387.500	306.734	3	1	1	123.318	104.119	166.365
387.000	305.868	3	1	1	125.536	104.119	166.365
387.498	305.002	3	1	1	121.077	104.119	166.365
387.910	304.090	3	1	1	119.633	104.119	166.365
388.717	303.500	3	1	1	120.038	104.119	166.365
