X	Y	C	Z	T	Intensity	BG	MX
266.000	506.000	3	1	1	122.526	106.536	333.422
266.000	507.000	3	1	1	124.300	106.536	333.422
267.000	507.000	3	1	1	123.847	106.536	333.422
268.000	507.000	3	1	1	116.505	106.536	333.422
268.707	507.707	3	1	1	125.499	106.536	333.422
269.663	508.000	3	1	1	124.274	106.536	333.422
270.000	508.942	3	1	1	127.153	106.536	333.422
270.998	509.000	3	1	1	125.342	106.536	333.422
271.000	510.000	3	1	1	128.674	106.536	333.422
271.000	511.000	3	1	1	133.174	106.536	333.422
271.707	511.707	3	1	1	133.881	106.536	333.422
272.000	512.663	3	1	1	133.809	106.536	333.422
271.058	513.000	3	1	1	130.298	106.536	333.422
271.000	513.998	3	1	1	136.694	106.536	333.422
271.000	514.998	3	1	1	140.869	106.536	333.422
271.000	515.998	3	1	1	140.173	106.536	333.422
270.000	516.000	3	1	1	145.233	106.536	333.422
269.293	516.707	3	1	1	148.503	106.536	333.422
268.337	517.000	3	1	1	159.622	106.536	333.422
268.000	517.942	3	1	1	139.914	106.536	333.422
267.002	518.000	3	1	1	136.768	106.536	333.422
266.002	518.000	3	1	1	144.089	106.536	333.422
265.002	518.000	3	1	1	136.279	106.536	333.422
264.002	518.000	3	1	1	133.681	106.536	333.422
264.000	517.000	3	1	1	135.346	106.536	333.422
263.000	517.000	3	1	1	125.073	106.536	333.422
263.000	516.000	3	1	1	139.875	106.536	333.422
262.000	516.000	3	1	1	130.620	106.536	333.422
262.000	515.000	3	1	1	131.372	106.536	333.422
262.000	514.000	3	1	1	131.492	106.536	333.422
262.000	513.000	3	1	1	133.537	106.536	333.422
262.000	512.000	3	1	1	137.096	106.536	333.422
262.000	511.000	3	1	1	131.589	106.536	333.422
263.000	511.000	3	1	1	133.963	106.536	333.422
263.707	510.293	3	1	1	144.914	106.536	333.422
264.663	510.000	3	1	1	141.712	106.536	333.422
264.000	510.748	3	1	1	150.165	106.536	333.422
