X	Y	C	Z	T	Intensity	BG	MX
421.167	251.167	1	1	1	702.359	104.168	201.013
420.224	250.833	1	1	1	675.400	104.168	201.013
419.281	250.500	1	1	1	659.169	104.168	201.013
418.281	250.500	1	1	1	650.547	104.168	201.013
417.281	250.500	1	1	1	605.854	104.168	201.013
416.281	250.500	1	1	1	564.458	104.168	201.013
415.338	250.833	1	1	1	553.273	104.168	201.013
414.500	251.379	1	1	1	545.538	104.168	201.013
413.833	252.124	1	1	1	512.659	104.168	201.013
413.500	253.067	1	1	1	522.147	104.168	201.013
413.500	254.067	1	1	1	594.809	104.168	201.013
413.500	255.067	1	1	1	604.858	104.168	201.013
414.155	255.822	1	1	1	607.268	104.168	201.013
414.500	256.761	1	1	1	616.849	104.168	201.013
415.167	257.506	1	1	1	682.562	104.168	201.013
415.918	258.167	1	1	1	715.942	104.168	201.013
416.860	258.500	1	1	1	729.624	104.168	201.013
417.833	258.731	1	1	1	715.766	104.168	201.013
418.828	258.833	1	1	1	685.476	104.168	201.013
419.828	258.833	1	1	1	664.794	104.168	201.013
420.771	258.500	1	1	1	646.190	104.168	201.013
421.714	258.167	1	1	1	665.385	104.168	201.013
422.656	257.833	1	1	1	637.029	104.168	201.013
423.446	257.220	1	1	1	636.499	104.168	201.013
424.154	256.513	1	1	1	585.271	104.168	201.013
424.167	255.513	1	1	1	602.457	104.168	201.013
423.887	254.553	1	1	1	652.651	104.168	201.013
423.500	253.631	1	1	1	666.636	104.168	201.013
422.614	253.167	1	1	1	709.087	104.168	201.013
