X	Y	C	Z	T	Intensity	BG	MX
305.000	372.500	3	1	1	117.926	106.943	177.677
305.866	373.000	3	1	1	120.027	106.943	177.677
306.500	373.773	3	1	1	114.194	106.943	177.677
307.000	374.639	3	1	1	112.468	106.943	177.677
307.500	375.505	3	1	1	117.670	106.943	177.677
307.915	376.415	3	1	1	113.427	106.943	177.677
307.627	377.373	3	1	1	114.017	106.943	177.677
307.216	378.284	3	1	1	113.901	106.943	177.677
306.517	379.000	3	1	1	115.134	106.943	177.677
305.651	379.500	3	1	1	114.089	106.943	177.677
304.651	379.500	3	1	1	118.306	106.943	177.677
303.785	380.000	3	1	1	116.154	106.943	177.677
302.919	379.500	3	1	1	117.226	106.943	177.677
302.034	379.034	3	1	1	119.042	106.943	177.677
301.500	378.189	3	1	1	116.520	106.943	177.677
301.500	377.189	3	1	1	118.706	106.943	177.677
301.500	376.189	3	1	1	110.110	106.943	177.677
301.773	375.227	3	1	1	111.118	106.943	177.677
302.480	374.520	3	1	1	114.439	106.943	177.677
303.480	374.500	3	1	1	116.682	106.943	177.677
