X	Y	C	Z	T	Intensity	BG	MX
389.833	596.167	2	1	1	354.741	102	265.926
390.579	596.833	2	1	1	389.069	102	265.926
391.521	597.167	2	1	1	396.368	102	265.926
392.367	597.700	2	1	1	416.136	102	265.926
393.167	598.301	2	1	1	453.536	102	265.926
393.500	599.244	2	1	1	461.308	102	265.926
393.500	600.244	2	1	1	460.094	102	265.926
393.167	601.187	2	1	1	450.216	102	265.926
392.833	602.129	2	1	1	442.265	102	265.926
391.994	602.673	2	1	1	473.872	102	265.926
391.473	603.527	2	1	1	477.856	102	265.926
390.705	604.167	2	1	1	463.996	102	265.926
389.762	604.500	2	1	1	451.076	102	265.926
388.781	604.307	2	1	1	461.129	102	265.926
387.833	603.987	2	1	1	428.605	102	265.926
386.960	603.500	2	1	1	415.075	102	265.926
386.193	602.859	2	1	1	446.835	102	265.926
385.259	602.500	2	1	1	456.506	102	265.926
384.683	601.683	2	1	1	471.082	102	265.926
383.976	600.976	2	1	1	478.388	102	265.926
383.833	599.986	2	1	1	508.904	102	265.926
383.500	599.043	2	1	1	475.095	102	265.926
383.833	598.100	2	1	1	463.461	102	265.926
384.500	597.355	2	1	1	441.450	102	265.926
385.482	597.167	2	1	1	440.410	102	265.926
386.425	596.833	2	1	1	415.338	102	265.926
387.425	596.833	2	1	1	390.778	102	265.926
388.425	596.833	2	1	1	377.123	102	265.926
