X	Y	C	Z	T	Intensity	BG	MX
225.500	381.167	2	1	1	498.214	133.102	363.855
224.755	380.500	2	1	1	519.071	133.102	363.855
223.818	380.151	2	1	1	505.411	133.102	363.855
222.964	379.630	2	1	1	525.294	133.102	363.855
222.257	378.923	2	1	1	525.506	133.102	363.855
221.403	378.403	2	1	1	537.692	133.102	363.855
220.696	377.696	2	1	1	512.866	133.102	363.855
219.847	377.167	2	1	1	524.360	133.102	363.855
219.133	376.466	2	1	1	514.258	133.102	363.855
218.179	376.167	2	1	1	552.315	133.102	363.855
217.236	375.833	2	1	1	561.921	133.102	363.855
216.293	375.500	2	1	1	577.424	133.102	363.855
215.351	375.833	2	1	1	576.968	133.102	363.855
214.351	375.833	2	1	1	600.871	133.102	363.855
213.833	376.689	2	1	1	634.371	133.102	363.855
213.500	377.632	2	1	1	676.618	133.102	363.855
213.833	378.575	2	1	1	702.188	133.102	363.855
213.905	379.572	2	1	1	742.653	133.102	363.855
214.500	380.376	2	1	1	733.729	133.102	363.855
215.304	380.971	2	1	1	736.916	133.102	363.855
216.153	381.500	2	1	1	743.566	133.102	363.855
217.012	382.012	2	1	1	749.970	133.102	363.855
217.719	382.719	2	1	1	768.470	133.102	363.855
218.676	383.009	2	1	1	779.406	133.102	363.855
219.500	383.575	2	1	1	795.116	133.102	363.855
220.306	384.167	2	1	1	788.859	133.102	363.855
221.104	384.770	2	1	1	751.741	133.102	363.855
221.958	385.291	2	1	1	747.766	133.102	363.855
222.811	385.811	2	1	1	757.790	133.102	363.855
223.665	386.332	2	1	1	708.636	133.102	363.855
224.519	386.852	2	1	1	688.952	133.102	363.855
225.468	387.167	2	1	1	663.002	133.102	363.855
226.411	387.500	2	1	1	673.611	133.102	363.855
227.354	387.167	2	1	1	677.544	133.102	363.855
228.130	386.536	2	1	1	644.090	133.102	363.855
228.167	385.537	2	1	1	571.218	133.102	363.855
228.167	384.537	2	1	1	504.722	133.102	363.855
228.167	383.537	2	1	1	482.703	133.102	363.855
227.833	382.594	2	1	1	460.988	133.102	363.855
