X	Y	C	Z	T	Intensity	BG	MX
350.167	275.833	1	3	5	475.729	117.025	267.796
349.224	275.500	1	3	5	466.045	117.025	267.796
348.281	275.167	1	3	5	476.193	117.025	267.796
347.519	274.519	1	3	5	478.178	117.025	267.796
346.812	273.812	1	3	5	469.010	117.025	267.796
345.989	273.244	1	3	5	489.862	117.025	267.796
345.107	272.773	1	3	5	474.239	117.025	267.796
344.253	272.253	1	3	5	474.912	117.025	267.796
343.345	271.833	1	3	5	465.257	117.025	267.796
342.345	271.833	1	3	5	468.270	117.025	267.796
341.345	271.833	1	3	5	481.411	117.025	267.796
340.345	271.833	1	3	5	495.781	117.025	267.796
339.345	271.833	1	3	5	490.220	117.025	267.796
338.345	271.833	1	3	5	490.772	117.025	267.796
337.500	272.368	1	3	5	476.143	117.025	267.796
337.167	273.311	1	3	5	458.435	117.025	267.796
337.167	274.311	1	3	5	446.947	117.025	267.796
337.773	275.106	1	3	5	479.436	117.025	267.796
338.293	275.960	1	3	5	471.484	117.025	267.796
339.135	276.500	1	3	5	510.415	117.025	267.796
340.078	276.833	1	3	5	522.360	117.025	267.796
340.964	277.297	1	3	5	527.117	117.025	267.796
341.808	277.833	1	3	5	508.838	117.025	267.796
342.553	278.500	1	3	5	503.247	117.025	267.796
343.437	278.968	1	3	5	544.346	117.025	267.796
344.255	279.544	1	3	5	543.093	117.025	267.796
345.091	280.092	1	3	5	550.954	117.025	267.796
345.762	280.833	1	3	5	535.101	117.025	267.796
346.504	281.504	1	3	5	531.507	117.025	267.796
347.211	282.211	1	3	5	518.280	117.025	267.796
347.833	282.994	1	3	5	501.311	117.025	267.796
348.616	283.616	1	3	5	507.001	117.025	267.796
349.451	284.167	1	3	5	520.203	117.025	267.796
350.394	284.500	1	3	5	541.802	117.025	267.796
351.337	284.167	1	3	5	565.934	117.025	267.796
352.167	283.609	1	3	5	601.082	117.025	267.796
352.833	282.864	1	3	5	620.803	117.025	267.796
352.833	281.864	1	3	5	572.459	117.025	267.796
352.833	280.864	1	3	5	521.339	117.025	267.796
352.500	279.921	1	3	5	509.168	117.025	267.796
351.843	279.167	1	3	5	526.830	117.025	267.796
351.500	278.228	1	3	5	519.984	117.025	267.796
