X	Y	C	Z	T	Intensity	BG	MX
299.500	220.167	2	5	1	1692.569	228.360	1877.194
300.245	220.833	2	5	1	1628.917	228.360	1877.194
300.991	221.500	2	5	1	1591.888	228.360	1877.194
301.615	222.281	2	5	1	1620.437	228.360	1877.194
302.461	222.814	2	5	1	1582.711	228.360	1877.194
303.178	223.511	2	5	1	1555.669	228.360	1877.194
303.933	224.167	2	5	1	1539.765	228.360	1877.194
304.747	224.747	2	5	1	1530.502	228.360	1877.194
305.454	225.454	2	5	1	1502.580	228.360	1877.194
306.162	226.162	2	5	1	1500.922	228.360	1877.194
306.682	227.015	2	5	1	1531.382	228.360	1877.194
307.203	227.869	2	5	1	1466.158	228.360	1877.194
307.833	228.645	2	5	1	1456.654	228.360	1877.194
308.440	229.440	2	5	1	1441.897	228.360	1877.194
308.730	230.397	2	5	1	1440.274	228.360	1877.194
309.251	231.251	2	5	1	1479.783	228.360	1877.194
309.958	231.958	2	5	1	1431.499	228.360	1877.194
310.798	232.500	2	5	1	1435.497	228.360	1877.194
311.741	232.833	2	5	1	1453.060	228.360	1877.194
312.684	233.167	2	5	1	1458.969	228.360	1877.194
313.684	233.167	2	5	1	1448.624	228.360	1877.194
314.684	233.167	2	5	1	1461.067	228.360	1877.194
315.684	233.167	2	5	1	1476.204	228.360	1877.194
316.684	233.167	2	5	1	1460.306	228.360	1877.194
317.684	233.167	2	5	1	1459.629	228.360	1877.194
318.684	233.167	2	5	1	1435.302	228.360	1877.194
319.670	232.997	2	5	1	1461.039	228.360	1877.194
320.656	232.833	2	5	1	1491.191	228.360	1877.194
321.599	232.500	2	5	1	1482.154	228.360	1877.194
322.255	231.745	2	5	1	1483.451	228.360	1877.194
322.775	230.891	2	5	1	1509.327	228.360	1877.194
322.833	229.893	2	5	1	1524.773	228.360	1877.194
322.833	228.893	2	5	1	1492.119	228.360	1877.194
322.833	227.893	2	5	1	1518.492	228.360	1877.194
322.590	226.923	2	5	1	1520.619	228.360	1877.194
322.300	225.966	2	5	1	1510.433	228.360	1877.194
321.592	225.259	2	5	1	1498.548	228.360	1877.194
320.739	224.739	2	5	1	1488.438	228.360	1877.194
320.031	224.031	2	5	1	1497.629	228.360	1877.194
319.324	223.324	2	5	1	1531.593	228.360	1877.194
318.367	223.034	2	5	1	1558.778	228.360	1877.194
317.448	222.641	2	5	1	1556.583	228.360	1877.194
316.630	222.065	2	5	1	1559.101	228.360	1877.194
315.658	221.833	2	5	1	1557.670	228.360	1877.194
314.876	221.209	2	5	1	1540.030	228.360	1877.194
314.167	220.505	2	5	1	1598.463	228.360	1877.194
313.225	220.167	2	5	1	1621.654	228.360	1877.194
312.607	219.381	2	5	1	1569.515	228.360	1877.194
311.796	218.796	2	5	1	1627.890	228.360	1877.194
311.364	217.894	2	5	1	1673.840	228.360	1877.194
310.833	217.046	2	5	1	1743.153	228.360	1877.194
310.720	216.053	2	5	1	1827.352	228.360	1877.194
310.167	215.220	2	5	1	1883.126	228.360	1877.194
309.482	214.491	2	5	1	1985.290	228.360	1877.194
308.631	213.965	2	5	1	2090.482	228.360	1877.194
307.850	213.341	2	5	1	2146.373	228.360	1877.194
306.988	212.833	2	5	1	2197.804	228.360	1877.194
305.988	212.833	2	5	1	2165.872	228.360	1877.194
