X	Y	C	Z	T	Intensity	BG	MX
323.833	262.500	1	3	6	848.637	131.424	489.564
324.833	262.500	1	3	6	868.455	131.424	489.564
325.790	262.210	1	3	6	869.136	131.424	489.564
326.747	262.500	1	3	6	872.949	131.424	489.564
327.747	262.500	1	3	6	857.207	131.424	489.564
328.690	262.833	1	3	6	860.865	131.424	489.564
329.543	263.355	1	3	6	804.363	131.424	489.564
330.448	263.781	1	3	6	757.647	131.424	489.564
331.167	264.476	1	3	6	757.891	131.424	489.564
332.011	265.011	1	3	6	744.747	131.424	489.564
332.884	265.500	1	3	6	771.877	131.424	489.564
333.629	266.167	1	3	6	782.629	131.424	489.564
334.375	266.833	1	3	6	814.487	131.424	489.564
334.970	267.637	1	3	6	828.761	131.424	489.564
335.500	268.485	1	3	6	858.297	131.424	489.564
335.833	269.428	1	3	6	856.425	131.424	489.564
335.833	270.428	1	3	6	857.816	131.424	489.564
335.500	271.370	1	3	6	858.336	131.424	489.564
334.614	271.833	1	3	6	871.536	131.424	489.564
333.671	272.167	1	3	6	857.985	131.424	489.564
332.671	272.167	1	3	6	833.713	131.424	489.564
331.671	272.167	1	3	6	796.680	131.424	489.564
330.671	272.167	1	3	6	785.201	131.424	489.564
329.758	271.758	1	3	6	765.299	131.424	489.564
328.904	271.238	1	3	6	764.738	131.424	489.564
328.167	270.562	1	3	6	771.744	131.424	489.564
327.491	269.825	1	3	6	759.828	131.424	489.564
326.833	269.072	1	3	6	770.052	131.424	489.564
326.167	268.326	1	3	6	743.892	131.424	489.564
325.297	267.833	1	3	6	705.648	131.424	489.564
324.500	267.229	1	3	6	660.615	131.424	489.564
323.582	266.833	1	3	6	644.507	131.424	489.564
322.836	266.167	1	3	6	634.090	131.424	489.564
322.544	265.210	1	3	6	682.552	131.424	489.564
322.500	264.211	1	3	6	739.661	131.424	489.564
