X	Y	C	Z	T	Intensity	BG	MX
657.000	492.000	1	1	1	143.136	103.434	133.746
657.707	492.707	1	1	1	143.128	103.434	133.746
658.663	493.000	1	1	1	140.745	103.434	133.746
659.518	493.518	1	1	1	137.317	103.434	133.746
660.395	494.000	1	1	1	128.728	103.434	133.746
661.395	494.000	1	1	1	135.792	103.434	133.746
662.336	494.336	1	1	1	131.932	103.434	133.746
663.085	495.000	1	1	1	126.458	103.434	133.746
664.084	495.042	1	1	1	126.318	103.434	133.746
664.978	495.489	1	1	1	128.315	103.434	133.746
665.873	495.936	1	1	1	125.798	103.434	133.746
666.611	496.611	1	1	1	121.457	103.434	133.746
667.532	497.000	1	1	1	122.714	103.434	133.746
668.532	497.000	1	1	1	125.783	103.434	133.746
669.532	497.000	1	1	1	127.117	103.434	133.746
670.000	497.884	1	1	1	127.440	103.434	133.746
670.993	498.000	1	1	1	134.543	103.434	133.746
671.000	499.000	1	1	1	138.969	103.434	133.746
671.894	499.447	1	1	1	138.358	103.434	133.746
672.789	499.894	1	1	1	136.384	103.434	133.746
673.783	500.000	1	1	1	141.520	103.434	133.746
674.783	500.000	1	1	1	143.009	103.434	133.746
675.590	500.590	1	1	1	145.230	103.434	133.746
676.297	501.297	1	1	1	141.151	103.434	133.746
677.009	502.000	1	1	1	132.854	103.434	133.746
678.009	502.009	1	1	1	124.676	103.434	133.746
678.716	502.716	1	1	1	131.311	103.434	133.746
679.675	503.000	1	1	1	130.339	103.434	133.746
680.526	503.526	1	1	1	130.805	103.434	133.746
681.233	504.233	1	1	1	129.108	103.434	133.746
681.940	504.940	1	1	1	128.484	103.434	133.746
682.938	505.000	1	1	1	132.007	103.434	133.746
683.676	505.676	1	1	1	131.128	103.434	133.746
684.383	506.383	1	1	1	134.429	103.434	133.746
685.169	507.000	1	1	1	133.304	103.434	133.746
686.000	507.557	1	1	1	131.934	103.434	133.746
686.896	508.000	1	1	1	136.545	103.434	133.746
687.000	508.995	1	1	1	133.006	103.434	133.746
688.000	509.000	1	1	1	126.763	103.434	133.746
689.000	509.000	1	1	1	136.004	103.434	133.746
689.000	510.000	1	1	1	129.301	103.434	133.746
690.000	510.000	1	1	1	134.960	103.434	133.746
690.707	510.707	1	1	1	125.168	103.434	133.746
691.663	511.000	1	1	1	120.731	103.434	133.746
692.000	511.942	1	1	1	126.384	103.434	133.746
692.998	512.000	1	1	1	125.785	103.434	133.746
693.000	513.000	1	1	1	128.706	103.434	133.746
694.000	513.000	1	1	1	134.352	103.434	133.746
695.000	513.000	1	1	1	130.555	103.434	133.746
695.000	514.000	1	1	1	129.737	103.434	133.746
696.000	514.000	1	1	1	127.945	103.434	133.746
696.707	514.707	1	1	1	127.809	103.434	133.746
697.663	515.000	1	1	1	132.909	103.434	133.746
698.000	515.942	1	1	1	130.567	103.434	133.746
698.998	516.000	1	1	1	124.207	103.434	133.746
