X	Y	C	Z	T	Intensity	BG	MX
736.000	519.000	3	1	1	118.333	105.078	109.671
736.000	520.000	3	1	1	131.334	105.078	109.671
736.000	521.000	3	1	1	131.696	105.078	109.671
736.000	522.000	3	1	1	138.007	105.078	109.671
736.000	523.000	3	1	1	138.991	105.078	109.671
736.000	524.000	3	1	1	137.906	105.078	109.671
736.000	525.000	3	1	1	130.075	105.078	109.671
736.000	526.000	3	1	1	135.180	105.078	109.671
736.000	527.000	3	1	1	126.050	105.078	109.671
736.000	528.000	3	1	1	128.652	105.078	109.671
736.000	529.000	3	1	1	128.034	105.078	109.671
736.000	530.000	3	1	1	129.584	105.078	109.671
736.000	531.000	3	1	1	126.772	105.078	109.671
736.000	532.000	3	1	1	130.253	105.078	109.671
736.707	532.707	3	1	1	131.270	105.078	109.671
737.000	533.663	3	1	1	129.388	105.078	109.671
737.000	534.663	3	1	1	129.440	105.078	109.671
737.000	535.663	3	1	1	134.984	105.078	109.671
737.518	536.518	3	1	1	135.588	105.078	109.671
738.000	537.395	3	1	1	133.240	105.078	109.671
738.000	538.395	3	1	1	129.963	105.078	109.671
738.000	539.395	3	1	1	128.856	105.078	109.671
738.000	540.395	3	1	1	133.058	105.078	109.671
738.000	541.395	3	1	1	135.488	105.078	109.671
738.796	542.000	3	1	1	135.372	105.078	109.671
739.000	542.979	3	1	1	135.110	105.078	109.671
739.000	543.979	3	1	1	137.051	105.078	109.671
739.697	544.697	3	1	1	136.128	105.078	109.671
740.404	545.404	3	1	1	134.464	105.078	109.671
741.111	546.111	3	1	1	134.872	105.078	109.671
741.818	546.818	3	1	1	138.345	105.078	109.671
742.336	547.673	3	1	1	135.673	105.078	109.671
742.784	548.567	3	1	1	136.804	105.078	109.671
743.374	549.374	3	1	1	139.317	105.078	109.671
744.000	550.154	3	1	1	133.494	105.078	109.671
744.534	551.000	3	1	1	135.565	105.078	109.671
745.000	551.885	3	1	1	130.478	105.078	109.671
745.993	552.000	3	1	1	138.081	105.078	109.671
746.704	552.704	3	1	1	137.766	105.078	109.671
747.411	553.411	3	1	1	142.133	105.078	109.671
748.118	554.118	3	1	1	139.491	105.078	109.671
748.825	554.825	3	1	1	140.042	105.078	109.671
749.000	555.810	3	1	1	143.563	105.078	109.671
749.982	556.000	3	1	1	141.869	105.078	109.671
750.000	557.000	3	1	1	141.349	105.078	109.671
751.000	557.000	3	1	1	143.146	105.078	109.671
751.000	558.000	3	1	1	141.092	105.078	109.671
751.707	558.707	3	1	1	140.811	105.078	109.671
752.000	559.663	3	1	1	139.466	105.078	109.671
752.518	560.518	3	1	1	139.063	105.078	109.671
753.000	561.395	3	1	1	135.021	105.078	109.671
753.000	562.395	3	1	1	137.399	105.078	109.671
753.336	563.336	3	1	1	140.976	105.078	109.671
754.000	564.085	3	1	1	146.716	105.078	109.671
754.000	565.085	3	1	1	147.061	105.078	109.671
754.000	566.085	3	1	1	150.215	105.078	109.671
754.081	567.081	3	1	1	139.689	105.078	109.671
754.788	567.788	3	1	1	140.775	105.078	109.671
755.000	568.766	3	1	1	138.891	105.078	109.671
755.000	569.766	3	1	1	141.432	105.078	109.671
755.000	570.766	3	1	1	145.894	105.078	109.671
755.000	571.766	3	1	1	141.106	105.078	109.671
755.000	572.766	3	1	1	139.499	105.078	109.671
755.000	573.766	3	1	1	144.190	105.078	109.671
755.000	574.766	3	1	1	141.365	105.078	109.671
755.000	575.766	3	1	1	136.462	105.078	109.671
754.420	576.580	3	1	1	138.898	105.078	109.671
754.000	577.488	3	1	1	132.042	105.078	109.671
754.000	578.488	3	1	1	124.937	105.078	109.671
754.000	579.488	3	1	1	127.548	105.078	109.671
754.000	580.488	3	1	1	126.973	105.078	109.671
754.000	581.488	3	1	1	124.799	105.078	109.671
754.403	582.403	3	1	1	127.390	105.078	109.671
755.000	583.205	3	1	1	123.167	105.078	109.671
755.000	584.205	3	1	1	123.439	105.078	109.671
755.000	585.205	3	1	1	126.824	105.078	109.671
755.000	586.205	3	1	1	128.103	105.078	109.671
755.000	587.205	3	1	1	132.761	105.078	109.671
755.000	588.205	3	1	1	136.769	105.078	109.671
755.000	589.205	3	1	1	131.782	105.078	109.671
755.188	590.188	3	1	1	141.773	105.078	109.671
755.895	590.895	3	1	1	146.131	105.078	109.671
756.000	591.889	3	1	1	148.909	105.078	109.671
756.000	592.889	3	1	1	161.967	105.078	109.671
756.000	593.889	3	1	1	159.577	105.078	109.671
756.000	594.889	3	1	1	161.634	105.078	109.671
756.000	595.889	3	1	1	167.874	105.078	109.671
756.000	596.889	3	1	1	166.310	105.078	109.671
756.000	597.889	3	1	1	157.140	105.078	109.671
756.000	598.889	3	1	1	158.665	105.078	109.671
756.000	599.889	3	1	1	150.683	105.078	109.671
756.000	600.889	3	1	1	151.179	105.078	109.671
756.000	601.889	3	1	1	148.575	105.078	109.671
755.006	602.000	3	1	1	144.220	105.078	109.671
755.000	603.000	3	1	1	138.376	105.078	109.671
755.000	604.000	3	1	1	145.216	105.078	109.671
755.000	605.000	3	1	1	134.861	105.078	109.671
755.707	605.707	3	1	1	142.805	105.078	109.671
756.000	606.663	3	1	1	143.151	105.078	109.671
756.000	607.663	3	1	1	156.859	105.078	109.671
756.000	608.663	3	1	1	163.641	105.078	109.671
756.307	609.615	3	1	1	166.462	105.078	109.671
756.755	610.509	3	1	1	165.673	105.078	109.671
757.000	611.479	3	1	1	164.553	105.078	109.671
757.397	612.397	3	1	1	153.163	105.078	109.671
758.104	613.104	3	1	1	156.189	105.078	109.671
758.811	613.811	3	1	1	159.828	105.078	109.671
759.000	614.793	3	1	1	161.996	105.078	109.671
759.596	615.596	3	1	1	153.170	105.078	109.671
760.000	616.511	3	1	1	161.031	105.078	109.671
760.000	617.511	3	1	1	161.580	105.078	109.671
760.000	618.511	3	1	1	155.601	105.078	109.671
760.000	619.511	3	1	1	147.379	105.078	109.671
760.000	620.511	3	1	1	143.998	105.078	109.671
760.000	621.511	3	1	1	139.531	105.078	109.671
760.000	622.511	3	1	1	141.005	105.078	109.671
759.759	623.481	3	1	1	147.566	105.078	109.671
759.312	624.376	3	1	1	138.474	105.078	109.671
759.000	625.326	3	1	1	132.256	105.078	109.671
759.000	626.326	3	1	1	127.695	105.078	109.671
759.959	626.041	3	1	1	122.461	105.078	109.671
760.958	626.000	3	1	1	122.420	105.078	109.671
761.000	625.001	3	1	1	122.250	105.078	109.671
761.000	624.001	3	1	1	133.302	105.078	109.671
