X	Y	C	Z	T	Intensity	BG	MX
496.000	530.000	3	1	1	165.610	99.821	108.547
495.000	530.000	3	1	1	159.373	99.821	108.547
495.000	531.000	3	1	1	159.558	99.821	108.547
494.000	531.000	3	1	1	172.536	99.821	108.547
493.000	531.000	3	1	1	180.730	99.821	108.547
492.000	531.000	3	1	1	174.433	99.821	108.547
491.293	531.707	3	1	1	172.722	99.821	108.547
490.586	532.414	3	1	1	180.557	99.821	108.547
489.775	533.000	3	1	1	188.610	99.821	108.547
489.000	533.632	3	1	1	189.601	99.821	108.547
488.070	534.000	3	1	1	201.641	99.821	108.547
488.000	534.997	3	1	1	200.809	99.821	108.547
487.000	535.000	3	1	1	210.548	99.821	108.547
486.293	535.707	3	1	1	229.253	99.821	108.547
486.000	536.663	3	1	1	237.854	99.821	108.547
485.058	537.000	3	1	1	226.023	99.821	108.547
485.000	537.998	3	1	1	229.764	99.821	108.547
484.000	538.000	3	1	1	244.062	99.821	108.547
484.000	539.000	3	1	1	227.609	99.821	108.547
483.293	539.707	3	1	1	252.063	99.821	108.547
483.000	540.663	3	1	1	293.649	99.821	108.547
483.000	541.663	3	1	1	317.582	99.821	108.547
482.482	542.518	3	1	1	316.445	99.821	108.547
482.000	543.395	3	1	1	293.571	99.821	108.547
482.000	544.395	3	1	1	241.666	99.821	108.547
482.000	545.395	3	1	1	210.995	99.821	108.547
481.664	546.336	3	1	1	202.607	99.821	108.547
481.000	547.085	3	1	1	193.124	99.821	108.547
480.597	548.000	3	1	1	190.499	99.821	108.547
480.000	548.802	3	1	1	186.541	99.821	108.547
479.020	549.000	3	1	1	191.370	99.821	108.547
479.000	550.000	3	1	1	182.296	99.821	108.547
478.293	550.707	3	1	1	181.509	99.821	108.547
477.337	551.000	3	1	1	187.794	99.821	108.547
476.482	551.518	3	1	1	183.928	99.821	108.547
475.605	552.000	3	1	1	184.766	99.821	108.547
475.000	552.796	3	1	1	179.076	99.821	108.547
474.021	553.000	3	1	1	176.580	99.821	108.547
473.021	553.000	3	1	1	170.854	99.821	108.547
473.000	554.000	3	1	1	166.886	99.821	108.547
472.000	554.000	3	1	1	184.484	99.821	108.547
471.293	554.707	3	1	1	190.180	99.821	108.547
470.337	555.000	3	1	1	206.408	99.821	108.547
469.337	555.000	3	1	1	213.671	99.821	108.547
468.482	555.518	3	1	1	208.670	99.821	108.547
467.605	556.000	3	1	1	199.570	99.821	108.547
466.605	556.000	3	1	1	193.899	99.821	108.547
465.605	556.000	3	1	1	191.745	99.821	108.547
464.664	556.336	3	1	1	197.939	99.821	108.547
463.915	557.000	3	1	1	186.618	99.821	108.547
462.915	557.000	3	1	1	174.711	99.821	108.547
461.915	557.000	3	1	1	180.988	99.821	108.547
460.915	557.000	3	1	1	167.567	99.821	108.547
459.915	557.000	3	1	1	162.405	99.821	108.547
458.915	557.000	3	1	1	154.424	99.821	108.547
457.915	557.000	3	1	1	161.293	99.821	108.547
456.915	557.000	3	1	1	161.478	99.821	108.547
455.916	557.042	3	1	1	165.922	99.821	108.547
455.022	557.489	3	1	1	160.748	99.821	108.547
454.127	557.936	3	1	1	158.440	99.821	108.547
453.129	558.000	3	1	1	155.661	99.821	108.547
452.129	558.000	3	1	1	152.951	99.821	108.547
451.129	558.000	3	1	1	156.241	99.821	108.547
450.129	558.000	3	1	1	155.563	99.821	108.547
449.129	558.000	3	1	1	151.052	99.821	108.547
448.129	558.000	3	1	1	148.528	99.821	108.547
448.000	557.008	3	1	1	150.192	99.821	108.547
447.000	557.000	3	1	1	160.990	99.821	108.547
446.000	557.000	3	1	1	157.958	99.821	108.547
445.000	557.000	3	1	1	166.552	99.821	108.547
444.000	557.000	3	1	1	157.473	99.821	108.547
443.000	557.000	3	1	1	153.274	99.821	108.547
442.293	556.293	3	1	1	146.086	99.821	108.547
