X	Y	C	Z	T	Intensity	BG	MX
410.000	998.000	1	1	1	166.667	103.089	157.704
411.000	998.000	1	1	1	154.675	103.089	157.704
412.000	998.000	1	1	1	158.405	103.089	157.704
413.000	998.000	1	1	1	174.704	103.089	157.704
414.000	998.000	1	1	1	180.284	103.089	157.704
415.000	998.000	1	1	1	174.438	103.089	157.704
416.000	998.000	1	1	1	153.593	103.089	157.704
417.000	998.000	1	1	1	147.970	103.089	157.704
418.000	998.000	1	1	1	146.209	103.089	157.704
419.000	998.000	1	1	1	158.438	103.089	157.704
420.000	998.000	1	1	1	181.458	103.089	157.704
421.000	998.000	1	1	1	233.565	103.089	157.704
422.000	998.000	1	1	1	298.317	103.089	157.704
423.000	998.000	1	1	1	336.037	103.089	157.704
424.000	998.000	1	1	1	372.905	103.089	157.704
425.000	998.000	1	1	1	412.812	103.089	157.704
426.000	998.000	1	1	1	425.329	103.089	157.704
427.000	998.000	1	1	1	377.422	103.089	157.704
428.000	998.000	1	1	1	333.760	103.089	157.704
429.000	998.000	1	1	1	269.026	103.089	157.704
430.000	998.000	1	1	1	228.955	103.089	157.704
431.000	998.000	1	1	1	184.198	103.089	157.704
432.000	998.000	1	1	1	189.850	103.089	157.704
433.000	998.000	1	1	1	223.987	103.089	157.704
434.000	998.000	1	1	1	304.630	103.089	157.704
435.000	998.000	1	1	1	396.009	103.089	157.704
436.000	998.000	1	1	1	420.578	103.089	157.704
437.000	998.000	1	1	1	438.688	103.089	157.704
438.000	998.000	1	1	1	392.961	103.089	157.704
439.000	998.000	1	1	1	335.173	103.089	157.704
440.000	998.000	1	1	1	245.467	103.089	157.704
441.000	998.000	1	1	1	197.845	103.089	157.704
442.000	998.000	1	1	1	174.245	103.089	157.704
443.000	998.000	1	1	1	198.087	103.089	157.704
444.000	998.000	1	1	1	237.692	103.089	157.704
445.000	998.000	1	1	1	289.585	103.089	157.704
446.000	998.000	1	1	1	311.668	103.089	157.704
447.000	998.000	1	1	1	345.192	103.089	157.704
448.000	998.000	1	1	1	336.414	103.089	157.704
448.707	997.293	1	1	1	284.759	103.089	157.704
449.663	997.000	1	1	1	248.261	103.089	157.704
450.000	996.058	1	1	1	237.524	103.089	157.704
450.998	996.000	1	1	1	224.962	103.089	157.704
451.000	995.000	1	1	1	225.193	103.089	157.704
451.000	994.000	1	1	1	199.746	103.089	157.704
452.000	994.000	1	1	1	197.177	103.089	157.704
452.000	993.000	1	1	1	173.901	103.089	157.704
452.000	992.000	1	1	1	143.686	103.089	157.704
452.707	991.293	1	1	1	138.215	103.089	157.704
453.000	990.337	1	1	1	137.564	103.089	157.704
453.000	989.337	1	1	1	133.721	103.089	157.704
453.518	988.482	1	1	1	121.000	103.089	157.704
454.000	987.605	1	1	1	119.894	103.089	157.704
454.000	986.605	1	1	1	118.954	103.089	157.704
454.000	985.605	1	1	1	122.300	103.089	157.704
454.000	984.605	1	1	1	119.372	103.089	157.704
454.000	983.605	1	1	1	116.423	103.089	157.704
454.000	982.605	1	1	1	116.963	103.089	157.704
454.000	981.605	1	1	1	120.000	103.089	157.704
