X	Y	C	Z	T	Intensity	BG	MX
340.000	553.000	3	1	1	141.060	105.850	118.147
339.293	553.707	3	1	1	138.776	105.850	118.147
338.337	554.000	3	1	1	147.612	105.850	118.147
337.482	554.518	3	1	1	145.639	105.850	118.147
336.775	555.226	3	1	1	141.249	105.850	118.147
336.067	555.933	3	1	1	140.451	105.850	118.147
335.360	556.640	3	1	1	141.817	105.850	118.147
335.000	557.573	3	1	1	143.390	105.850	118.147
334.540	558.460	3	1	1	141.481	105.850	118.147
333.698	559.000	3	1	1	143.033	105.850	118.147
333.000	559.716	3	1	1	142.512	105.850	118.147
332.041	560.000	3	1	1	140.484	105.850	118.147
332.000	560.999	3	1	1	135.633	105.850	118.147
331.000	561.000	3	1	1	134.962	105.850	118.147
330.293	561.707	3	1	1	132.133	105.850	118.147
329.586	562.414	3	1	1	129.292	105.850	118.147
328.775	563.000	3	1	1	123.408	105.850	118.147
327.796	563.204	3	1	1	121.263	105.850	118.147
327.089	563.911	3	1	1	121.248	105.850	118.147
327.000	564.907	3	1	1	119.841	105.850	118.147
326.004	565.000	3	1	1	123.569	105.850	118.147
326.000	566.000	3	1	1	124.875	105.850	118.147
325.000	566.000	3	1	1	121.664	105.850	118.147
325.000	567.000	3	1	1	124.431	105.850	118.147
324.000	567.000	3	1	1	132.884	105.850	118.147
324.000	568.000	3	1	1	138.664	105.850	118.147
323.293	568.707	3	1	1	141.069	105.850	118.147
322.586	569.414	3	1	1	136.616	105.850	118.147
321.879	570.121	3	1	1	136.244	105.850	118.147
321.172	570.828	3	1	1	124.141	105.850	118.147
320.464	571.536	3	1	1	128.131	105.850	118.147
320.000	572.421	3	1	1	133.911	105.850	118.147
320.000	573.421	3	1	1	130.845	105.850	118.147
319.644	574.356	3	1	1	126.623	105.850	118.147
319.000	575.120	3	1	1	122.652	105.850	118.147
319.000	576.120	3	1	1	127.097	105.850	118.147
319.000	577.120	3	1	1	123.297	105.850	118.147
319.000	578.120	3	1	1	127.640	105.850	118.147
319.000	579.120	3	1	1	116.832	105.850	118.147
319.000	580.120	3	1	1	116.330	105.850	118.147
319.000	581.120	3	1	1	117.882	105.850	118.147
318.886	582.114	3	1	1	116.262	105.850	118.147
318.179	582.821	3	1	1	115.524	105.850	118.147
318.000	583.805	3	1	1	121.478	105.850	118.147
318.603	584.603	3	1	1	120.747	105.850	118.147
319.000	585.521	3	1	1	114.814	105.850	118.147
319.000	586.521	3	1	1	119.182	105.850	118.147
319.000	587.521	3	1	1	126.866	105.850	118.147
319.000	588.521	3	1	1	126.626	105.850	118.147
319.000	589.521	3	1	1	123.450	105.850	118.147
319.000	590.521	3	1	1	128.012	105.850	118.147
319.878	591.000	3	1	1	136.989	105.850	118.147
320.000	591.992	3	1	1	138.952	105.850	118.147
320.703	592.703	3	1	1	137.517	105.850	118.147
321.000	593.658	3	1	1	146.944	105.850	118.147
321.515	594.515	3	1	1	140.537	105.850	118.147
322.292	595.146	3	1	1	138.697	105.850	118.147
323.186	595.593	3	1	1	128.960	105.850	118.147
324.067	596.067	3	1	1	127.849	105.850	118.147
324.774	596.774	3	1	1	129.836	105.850	118.147
325.481	597.481	3	1	1	128.484	105.850	118.147
326.188	598.188	3	1	1	134.285	105.850	118.147
326.895	598.895	3	1	1	129.817	105.850	118.147
327.768	599.384	3	1	1	133.850	105.850	118.147
328.662	599.831	3	1	1	137.834	105.850	118.147
329.648	600.000	3	1	1	127.879	105.850	118.147
330.509	600.509	3	1	1	128.848	105.850	118.147
331.216	601.216	3	1	1	128.887	105.850	118.147
331.923	601.923	3	1	1	123.023	105.850	118.147
332.920	602.000	3	1	1	129.507	105.850	118.147
333.666	602.666	3	1	1	126.937	105.850	118.147
334.373	603.373	3	1	1	128.000	105.850	118.147
335.000	604.152	3	1	1	128.553	105.850	118.147
335.530	605.000	3	1	1	130.379	105.850	118.147
336.432	605.432	3	1	1	130.339	105.850	118.147
337.139	606.139	3	1	1	123.886	105.850	118.147
337.846	606.846	3	1	1	126.179	105.850	118.147
338.834	607.000	3	1	1	136.908	105.850	118.147
339.000	607.986	3	1	1	128.026	105.850	118.147
339.700	608.700	3	1	1	128.765	105.850	118.147
