X	Y	C	Z	T	Intensity	BG	MX
860.000	558.000	2	1	1	109.000	100.540	374.539
860.000	559.000	2	1	1	103.345	100.540	374.539
860.000	560.000	2	1	1	112.324	100.540	374.539
860.000	561.000	2	1	1	108.676	100.540	374.539
860.000	562.000	2	1	1	111.000	100.540	374.539
860.000	563.000	2	1	1	110.970	100.540	374.539
860.000	564.000	2	1	1	106.357	100.540	374.539
860.000	565.000	2	1	1	109.330	100.540	374.539
860.000	566.000	2	1	1	109.035	100.540	374.539
860.000	567.000	2	1	1	112.306	100.540	374.539
860.000	568.000	2	1	1	110.010	100.540	374.539
860.000	569.000	2	1	1	110.610	100.540	374.539
860.000	570.000	2	1	1	106.696	100.540	374.539
860.000	571.000	2	1	1	107.356	100.540	374.539
860.000	572.000	2	1	1	107.783	100.540	374.539
859.293	572.707	2	1	1	106.190	100.540	374.539
859.000	573.663	2	1	1	108.180	100.540	374.539
858.693	574.615	2	1	1	106.025	100.540	374.539
858.245	575.509	2	1	1	107.182	100.540	374.539
858.000	576.479	2	1	1	112.731	100.540	374.539
857.603	577.397	2	1	1	107.739	100.540	374.539
857.000	578.194	2	1	1	106.205	100.540	374.539
856.822	579.178	2	1	1	110.514	100.540	374.539
856.115	579.885	2	1	1	113.980	100.540	374.539
855.408	580.592	2	1	1	106.475	100.540	374.539
855.000	581.505	2	1	1	106.758	100.540	374.539
854.762	582.477	2	1	1	109.396	100.540	374.539
854.314	583.371	2	1	1	107.299	100.540	374.539
853.782	584.218	2	1	1	108.423	100.540	374.539
853.075	584.925	2	1	1	113.603	100.540	374.539
852.368	585.632	2	1	1	110.479	100.540	374.539
852.000	586.562	2	1	1	111.710	100.540	374.539
851.101	587.000	2	1	1	108.658	100.540	374.539
851.000	587.995	2	1	1	110.857	100.540	374.539
851.000	588.995	2	1	1	111.883	100.540	374.539
850.295	589.705	2	1	1	107.681	100.540	374.539
850.000	590.660	2	1	1	110.225	100.540	374.539
850.000	591.660	2	1	1	108.956	100.540	374.539
849.694	592.612	2	1	1	109.228	100.540	374.539
849.247	593.506	2	1	1	107.413	100.540	374.539
848.800	594.401	2	1	1	114.231	100.540	374.539
848.352	595.295	2	1	1	108.690	100.540	374.539
848.000	596.231	2	1	1	107.398	100.540	374.539
848.000	597.231	2	1	1	115.136	100.540	374.539
848.000	598.231	2	1	1	116.010	100.540	374.539
847.888	599.225	2	1	1	115.848	100.540	374.539
847.440	600.119	2	1	1	114.229	100.540	374.539
846.993	601.014	2	1	1	108.944	100.540	374.539
846.546	601.908	2	1	1	110.701	100.540	374.539
846.099	602.802	2	1	1	105.630	100.540	374.539
846.000	603.798	2	1	1	108.221	100.540	374.539
846.000	604.798	2	1	1	107.045	100.540	374.539
846.000	605.798	2	1	1	106.759	100.540	374.539
846.000	606.798	2	1	1	110.320	100.540	374.539
845.636	607.729	2	1	1	110.526	100.540	374.539
845.188	608.623	2	1	1	107.527	100.540	374.539
