X	Y	C	Z	T	Intensity	BG	MX
475.000	460.000	1	1	1	119.003	104.347	114.266
474.000	460.000	1	1	1	113.932	104.347	114.266
474.000	461.000	1	1	1	112.594	104.347	114.266
473.000	461.000	1	1	1	109.891	104.347	114.266
473.000	462.000	1	1	1	113.676	104.347	114.266
473.000	463.000	1	1	1	117.735	104.347	114.266
472.293	463.707	1	1	1	117.028	104.347	114.266
471.586	464.414	1	1	1	110.642	104.347	114.266
471.000	465.225	1	1	1	110.209	104.347	114.266
471.000	466.225	1	1	1	109.397	104.347	114.266
471.000	467.225	1	1	1	113.346	104.347	114.266
470.796	468.204	1	1	1	106.542	104.347	114.266
470.089	468.911	1	1	1	118.659	104.347	114.266
470.000	469.907	1	1	1	125.524	104.347	114.266
470.000	470.907	1	1	1	117.161	104.347	114.266
470.000	471.907	1	1	1	119.175	104.347	114.266
470.000	472.907	1	1	1	110.638	104.347	114.266
470.000	473.907	1	1	1	109.918	104.347	114.266
470.000	474.907	1	1	1	112.053	104.347	114.266
470.000	475.907	1	1	1	112.919	104.347	114.266
469.590	476.819	1	1	1	116.869	104.347	114.266
469.143	477.714	1	1	1	121.777	104.347	114.266
469.000	478.703	1	1	1	125.233	104.347	114.266
469.000	479.703	1	1	1	123.881	104.347	114.266
469.000	480.703	1	1	1	119.102	104.347	114.266
469.000	481.703	1	1	1	116.998	104.347	114.266
469.000	482.703	1	1	1	119.762	104.347	114.266
469.000	483.703	1	1	1	127.245	104.347	114.266
469.000	484.703	1	1	1	125.138	104.347	114.266
469.000	485.703	1	1	1	128.915	104.347	114.266
468.045	486.000	1	1	1	132.700	104.347	114.266
468.000	486.999	1	1	1	136.681	104.347	114.266
468.000	487.999	1	1	1	124.040	104.347	114.266
468.000	488.999	1	1	1	119.173	104.347	114.266
467.293	489.707	1	1	1	116.570	104.347	114.266
466.586	490.414	1	1	1	112.027	104.347	114.266
466.000	491.224	1	1	1	119.245	104.347	114.266
465.797	492.203	1	1	1	122.235	104.347	114.266
465.090	492.910	1	1	1	121.030	104.347	114.266
465.000	493.906	1	1	1	128.474	104.347	114.266
464.004	494.000	1	1	1	130.334	104.347	114.266
464.000	495.000	1	1	1	118.947	104.347	114.266
463.293	495.707	1	1	1	111.983	104.347	114.266
463.000	496.663	1	1	1	110.739	104.347	114.266
462.482	497.518	1	1	1	110.871	104.347	114.266
462.000	498.395	1	1	1	109.385	104.347	114.266
462.000	499.395	1	1	1	109.733	104.347	114.266
461.204	500.000	1	1	1	109.960	104.347	114.266
461.000	500.979	1	1	1	108.421	104.347	114.266
460.303	501.697	1	1	1	115.991	104.347	114.266
460.000	502.649	1	1	1	117.860	104.347	114.266
460.000	503.649	1	1	1	123.681	104.347	114.266
460.000	504.649	1	1	1	129.289	104.347	114.266
459.490	505.510	1	1	1	135.357	104.347	114.266
459.000	506.381	1	1	1	135.128	104.347	114.266
459.000	507.381	1	1	1	137.400	104.347	114.266
459.000	508.381	1	1	1	126.270	104.347	114.266
459.000	509.381	1	1	1	116.338	104.347	114.266
459.000	510.381	1	1	1	114.230	104.347	114.266
459.000	511.381	1	1	1	110.045	104.347	114.266
458.674	512.326	1	1	1	109.964	104.347	114.266
458.000	513.066	1	1	1	110.056	104.347	114.266
458.000	514.066	1	1	1	109.662	104.347	114.266
458.000	515.066	1	1	1	108.349	104.347	114.266
458.000	516.066	1	1	1	113.225	104.347	114.266
458.000	517.066	1	1	1	111.216	104.347	114.266
458.000	518.066	1	1	1	109.439	104.347	114.266
458.000	519.066	1	1	1	110.934	104.347	114.266
