X	Y	C	Z	T	Intensity	BG	MX
889.000	379.000	2	1	1	134.613	101.555	259.452
888.293	379.707	2	1	1	127.731	101.555	259.452
887.337	380.000	2	1	1	124.642	101.555	259.452
886.482	380.518	2	1	1	123.602	101.555	259.452
886.000	381.395	2	1	1	134.244	101.555	259.452
885.204	382.000	2	1	1	132.277	101.555	259.452
885.000	382.979	2	1	1	131.487	101.555	259.452
885.000	383.979	2	1	1	132.184	101.555	259.452
884.303	384.697	2	1	1	131.430	101.555	259.452
883.596	385.404	2	1	1	124.808	101.555	259.452
882.889	386.111	2	1	1	134.736	101.555	259.452
882.182	386.818	2	1	1	138.875	101.555	259.452
882.000	387.801	2	1	1	128.464	101.555	259.452
881.399	388.601	2	1	1	138.834	101.555	259.452
881.000	389.517	2	1	1	138.084	101.555	259.452
880.577	390.423	2	1	1	135.602	101.555	259.452
879.914	391.172	2	1	1	136.156	101.555	259.452
879.467	392.067	2	1	1	139.102	101.555	259.452
879.019	392.961	2	1	1	133.191	101.555	259.452
878.322	393.678	2	1	1	131.499	101.555	259.452
878.000	394.625	2	1	1	133.245	101.555	259.452
877.506	395.494	2	1	1	133.004	101.555	259.452
876.799	396.201	2	1	1	137.479	101.555	259.452
876.092	396.908	2	1	1	128.887	101.555	259.452
876.000	397.904	2	1	1	138.432	101.555	259.452
875.343	398.657	2	1	1	134.060	101.555	259.452
874.635	399.365	2	1	1	145.326	101.555	259.452
874.000	400.137	2	1	1	137.417	101.555	259.452
873.872	401.128	2	1	1	141.154	101.555	259.452
873.164	401.836	2	1	1	141.424	101.555	259.452
873.000	402.822	2	1	1	136.667	101.555	259.452
872.388	403.612	2	1	1	145.958	101.555	259.452
872.000	404.534	2	1	1	147.883	101.555	259.452
871.565	405.435	2	1	1	142.183	101.555	259.452
871.000	406.260	2	1	1	141.599	101.555	259.452
871.000	407.260	2	1	1	155.016	101.555	259.452
870.768	408.232	2	1	1	145.003	101.555	259.452
870.060	408.940	2	1	1	133.068	101.555	259.452
870.000	409.938	2	1	1	136.700	101.555	259.452
869.325	410.675	2	1	1	147.044	101.555	259.452
869.000	411.621	2	1	1	141.696	101.555	259.452
868.508	412.492	2	1	1	137.774	101.555	259.452
868.000	413.353	2	1	1	145.624	101.555	259.452
868.000	414.353	2	1	1	149.449	101.555	259.452
867.237	415.000	2	1	1	140.626	101.555	259.452
867.000	415.971	2	1	1	151.874	101.555	259.452
867.000	416.971	2	1	1	150.901	101.555	259.452
867.000	417.971	2	1	1	140.841	101.555	259.452
866.307	418.693	2	1	1	140.585	101.555	259.452
866.000	419.644	2	1	1	144.408	101.555	259.452
866.000	420.644	2	1	1	146.267	101.555	259.452
865.494	421.507	2	1	1	148.849	101.555	259.452
865.000	422.376	2	1	1	153.810	101.555	259.452
865.000	423.376	2	1	1	153.068	101.555	259.452
865.000	424.376	2	1	1	146.755	101.555	259.452
864.677	425.323	2	1	1	144.411	101.555	259.452
864.000	426.058	2	1	1	152.335	101.555	259.452
864.000	427.058	2	1	1	154.065	101.555	259.452
863.943	428.057	2	1	1	149.775	101.555	259.452
863.236	428.764	2	1	1	153.576	101.555	259.452
863.000	429.736	2	1	1	152.049	101.555	259.452
863.000	430.736	2	1	1	157.532	101.555	259.452
863.000	431.736	2	1	1	154.397	101.555	259.452
862.438	432.562	2	1	1	161.785	101.555	259.452
862.000	433.462	2	1	1	165.368	101.555	259.452
862.000	434.462	2	1	1	159.917	101.555	259.452
862.000	435.462	2	1	1	166.314	101.555	259.452
862.000	436.462	2	1	1	169.258	101.555	259.452
862.000	437.462	2	1	1	169.153	101.555	259.452
861.615	438.385	2	1	1	167.606	101.555	259.452
861.000	439.173	2	1	1	161.070	101.555	259.452
861.000	440.173	2	1	1	184.648	101.555	259.452
861.000	441.173	2	1	1	178.056	101.555	259.452
861.000	442.173	2	1	1	159.550	101.555	259.452
860.915	443.169	2	1	1	169.861	101.555	259.452
860.468	444.064	2	1	1	172.482	101.555	259.452
860.021	444.958	2	1	1	183.315	101.555	259.452
860.000	445.958	2	1	1	171.548	101.555	259.452
860.999	446.000	2	1	1	174.261	101.555	259.452
