X	Y	C	Z	T	Intensity	BG	MX
178.000	361.000	2	1	1	147.997	105.461	134.620
178.000	362.000	2	1	1	143.337	105.461	134.620
178.000	363.000	2	1	1	145.312	105.461	134.620
178.000	364.000	2	1	1	150.033	105.461	134.620
178.000	365.000	2	1	1	157.968	105.461	134.620
178.707	365.707	2	1	1	153.473	105.461	134.620
179.000	366.663	2	1	1	145.740	105.461	134.620
179.942	367.000	2	1	1	147.855	105.461	134.620
180.000	367.998	2	1	1	166.587	105.461	134.620
180.706	368.706	2	1	1	157.214	105.461	134.620
181.413	369.413	2	1	1	160.681	105.461	134.620
182.120	370.120	2	1	1	171.809	105.461	134.620
182.828	370.828	2	1	1	174.965	105.461	134.620
183.535	371.535	2	1	1	180.071	105.461	134.620
184.242	372.242	2	1	1	165.019	105.461	134.620
184.949	372.949	2	1	1	162.945	105.461	134.620
185.656	373.656	2	1	1	158.744	105.461	134.620
186.000	374.595	2	1	1	160.702	105.461	134.620
186.475	375.475	2	1	1	167.655	105.461	134.620
187.326	376.000	2	1	1	160.926	105.461	134.620
188.000	376.739	2	1	1	159.480	105.461	134.620
188.965	377.000	2	1	1	166.835	105.461	134.620
189.000	377.999	2	1	1	156.727	105.461	134.620
190.000	378.000	2	1	1	155.067	105.461	134.620
190.707	378.707	2	1	1	162.427	105.461	134.620
191.414	379.414	2	1	1	164.231	105.461	134.620
192.121	380.121	2	1	1	149.872	105.461	134.620
192.828	380.828	2	1	1	156.075	105.461	134.620
193.536	381.536	2	1	1	163.293	105.461	134.620
194.243	382.243	2	1	1	160.804	105.461	134.620
194.950	382.950	2	1	1	155.726	105.461	134.620
195.948	383.000	2	1	1	156.396	105.461	134.620
196.000	383.999	2	1	1	157.880	105.461	134.620
196.706	384.706	2	1	1	179.130	105.461	134.620
197.000	385.662	2	1	1	166.648	105.461	134.620
197.518	386.518	2	1	1	153.428	105.461	134.620
198.000	387.394	2	1	1	159.833	105.461	134.620
198.795	388.000	2	1	1	154.180	105.461	134.620
199.000	388.979	2	1	1	149.629	105.461	134.620
200.000	389.000	2	1	1	139.459	105.461	134.620
200.000	390.000	2	1	1	133.899	105.461	134.620
201.000	390.000	2	1	1	146.650	105.461	134.620
201.707	390.707	2	1	1	153.020	105.461	134.620
202.414	391.414	2	1	1	155.911	105.461	134.620
203.121	392.121	2	1	1	158.601	105.461	134.620
203.828	392.828	2	1	1	164.592	105.461	134.620
204.536	393.536	2	1	1	158.803	105.461	134.620
205.243	394.243	2	1	1	166.571	105.461	134.620
205.950	394.950	2	1	1	170.594	105.461	134.620
