X	Y	C	Z	T	Intensity	BG	MX
291.000	431.000	2	1	1	129.744	105.209	154.864
291.000	432.000	2	1	1	135.925	105.209	154.864
291.707	432.707	2	1	1	138.957	105.209	154.864
292.000	433.663	2	1	1	151.505	105.209	154.864
292.518	434.518	2	1	1	155.368	105.209	154.864
293.000	435.395	2	1	1	170.011	105.209	154.864
293.336	436.336	2	1	1	173.134	105.209	154.864
294.000	437.085	2	1	1	171.467	105.209	154.864
294.081	438.081	2	1	1	164.617	105.209	154.864
294.788	438.788	2	1	1	162.448	105.209	154.864
295.000	439.766	2	1	1	166.376	105.209	154.864
295.580	440.580	2	1	1	173.240	105.209	154.864
296.000	441.488	2	1	1	177.163	105.209	154.864
296.403	442.403	2	1	1	184.535	105.209	154.864
297.000	443.205	2	1	1	192.202	105.209	154.864
297.188	444.188	2	1	1	210.235	105.209	154.864
297.895	444.895	2	1	1	221.150	105.209	154.864
298.000	445.889	2	1	1	220.514	105.209	154.864
298.994	446.000	2	1	1	227.275	105.209	154.864
299.000	447.000	2	1	1	226.076	105.209	154.864
299.000	448.000	2	1	1	202.065	105.209	154.864
299.000	449.000	2	1	1	181.104	105.209	154.864
300.000	449.000	2	1	1	183.023	105.209	154.864
300.000	450.000	2	1	1	162.885	105.209	154.864
300.707	450.707	2	1	1	147.096	105.209	154.864
301.000	451.663	2	1	1	141.239	105.209	154.864
301.518	452.518	2	1	1	149.949	105.209	154.864
302.225	453.225	2	1	1	159.219	105.209	154.864
302.933	453.933	2	1	1	161.687	105.209	154.864
303.000	454.930	2	1	1	180.498	105.209	154.864
303.671	455.671	2	1	1	185.637	105.209	154.864
304.379	456.379	2	1	1	194.791	105.209	154.864
305.000	457.162	2	1	1	184.811	105.209	154.864
305.151	458.151	2	1	1	202.592	105.209	154.864
305.858	458.858	2	1	1	199.270	105.209	154.864
306.000	459.847	2	1	1	185.000	105.209	154.864
306.000	460.847	2	1	1	170.592	105.209	154.864
306.627	461.627	2	1	1	177.217	105.209	154.864
307.334	462.334	2	1	1	171.534	105.209	154.864
308.000	463.080	2	1	1	176.357	105.209	154.864
308.077	464.077	2	1	1	179.611	105.209	154.864
308.784	464.784	2	1	1	179.844	105.209	154.864
309.000	465.760	2	1	1	185.780	105.209	154.864
309.577	466.577	2	1	1	181.264	105.209	154.864
310.000	467.483	2	1	1	185.030	105.209	154.864
310.856	468.000	2	1	1	191.329	105.209	154.864
311.000	468.990	2	1	1	196.314	105.209	154.864
311.000	469.990	2	1	1	177.445	105.209	154.864
311.702	470.702	2	1	1	173.088	105.209	154.864
312.409	471.409	2	1	1	167.174	105.209	154.864
313.000	472.216	2	1	1	154.476	105.209	154.864
313.196	473.196	2	1	1	141.556	105.209	154.864
313.903	473.903	2	1	1	146.702	105.209	154.864
314.000	474.899	2	1	1	152.279	105.209	154.864
314.655	475.655	2	1	1	164.928	105.209	154.864
315.000	476.593	2	1	1	160.121	105.209	154.864
315.000	477.593	2	1	1	177.556	105.209	154.864
315.474	478.474	2	1	1	198.096	105.209	154.864
316.000	479.324	2	1	1	195.363	105.209	154.864
316.000	480.324	2	1	1	209.495	105.209	154.864
316.283	481.283	2	1	1	210.999	105.209	154.864
316.990	481.990	2	1	1	201.077	105.209	154.864
317.000	482.990	2	1	1	196.209	105.209	154.864
318.000	483.000	2	1	1	206.846	105.209	154.864
318.000	484.000	2	1	1	200.280	105.209	154.864
318.707	484.707	2	1	1	183.259	105.209	154.864
319.414	485.414	2	1	1	165.419	105.209	154.864
320.000	486.225	2	1	1	165.871	105.209	154.864
320.632	487.000	2	1	1	163.630	105.209	154.864
321.000	487.930	2	1	1	188.372	105.209	154.864
321.671	488.671	2	1	1	209.982	105.209	154.864
322.615	489.000	2	1	1	211.529	105.209	154.864
323.488	489.488	2	1	1	188.813	105.209	154.864
324.195	490.195	2	1	1	169.515	105.209	154.864
324.902	490.902	2	1	1	158.698	105.209	154.864
325.898	491.000	2	1	1	164.179	105.209	154.864
326.898	491.000	2	1	1	154.423	105.209	154.864
327.000	491.995	2	1	1	153.807	105.209	154.864
328.000	492.000	2	1	1	157.188	105.209	154.864
