X	Y	C	Z	T	Intensity	BG	MX
791.000	191.000	2	1	1	102.417	103.229	276.758
790.000	191.000	2	1	1	104.706	103.229	276.758
789.293	191.707	2	1	1	105.154	103.229	276.758
788.586	192.414	2	1	1	106.582	103.229	276.758
787.879	193.121	2	1	1	111.843	103.229	276.758
787.172	193.828	2	1	1	105.310	103.229	276.758
787.000	194.814	2	1	1	106.547	103.229	276.758
786.392	195.608	2	1	1	108.589	103.229	276.758
786.000	196.528	2	1	1	107.534	103.229	276.758
785.570	197.430	2	1	1	110.282	103.229	276.758
785.000	198.252	2	1	1	108.874	103.229	276.758
785.000	199.252	2	1	1	109.862	103.229	276.758
785.000	200.252	2	1	1	107.998	103.229	276.758
785.000	201.252	2	1	1	108.017	103.229	276.758
785.000	202.252	2	1	1	109.821	103.229	276.758
785.000	203.252	2	1	1	106.845	103.229	276.758
785.000	204.252	2	1	1	107.903	103.229	276.758
785.000	205.252	2	1	1	106.667	103.229	276.758
785.000	206.252	2	1	1	108.856	103.229	276.758
785.000	207.252	2	1	1	113.600	103.229	276.758
784.774	208.226	2	1	1	108.591	103.229	276.758
784.067	208.933	2	1	1	108.281	103.229	276.758
784.000	209.931	2	1	1	111.714	103.229	276.758
784.000	210.931	2	1	1	108.970	103.229	276.758
783.002	211.000	2	1	1	107.343	103.229	276.758
783.000	212.000	2	1	1	104.069	103.229	276.758
782.000	212.000	2	1	1	104.244	103.229	276.758
782.000	213.000	2	1	1	108.947	103.229	276.758
781.000	213.000	2	1	1	105.426	103.229	276.758
780.000	213.000	2	1	1	104.779	103.229	276.758
780.000	214.000	2	1	1	103.180	103.229	276.758
779.000	214.000	2	1	1	106.413	103.229	276.758
779.000	215.000	2	1	1	109.726	103.229	276.758
778.000	215.000	2	1	1	107.349	103.229	276.758
777.293	215.707	2	1	1	107.317	103.229	276.758
777.000	216.663	2	1	1	110.097	103.229	276.758
776.058	217.000	2	1	1	113.014	103.229	276.758
775.323	217.677	2	1	1	106.868	103.229	276.758
774.616	218.384	2	1	1	110.611	103.229	276.758
773.909	219.092	2	1	1	107.606	103.229	276.758
773.201	219.799	2	1	1	106.986	103.229	276.758
772.222	220.000	2	1	1	107.659	103.229	276.758
772.000	220.975	2	1	1	107.238	103.229	276.758
771.000	221.000	2	1	1	109.319	103.229	276.758
770.293	221.707	2	1	1	108.506	103.229	276.758
770.000	222.663	2	1	1	108.006	103.229	276.758
769.482	223.518	2	1	1	106.157	103.229	276.758
768.605	224.000	2	1	1	107.049	103.229	276.758
768.000	224.796	2	1	1	106.599	103.229	276.758
767.021	225.000	2	1	1	107.688	103.229	276.758
766.303	225.697	2	1	1	110.623	103.229	276.758
765.351	226.000	2	1	1	107.218	103.229	276.758
765.000	226.937	2	1	1	111.465	103.229	276.758
764.002	227.000	2	1	1	109.704	103.229	276.758
764.000	228.000	2	1	1	109.493	103.229	276.758
763.000	228.000	2	1	1	105.799	103.229	276.758
762.293	228.707	2	1	1	106.967	103.229	276.758
762.000	229.663	2	1	1	109.729	103.229	276.758
