X	Y	C	Z	T	Intensity	BG	MX
101.000	195.000	1	1	1	171.000	105.441	195.172
101.000	196.000	1	1	1	134.011	105.441	195.172
101.000	197.000	1	1	1	150.752	105.441	195.172
101.000	198.000	1	1	1	212.601	105.441	195.172
101.000	199.000	1	1	1	341.699	105.441	195.172
101.000	200.000	1	1	1	473.091	105.441	195.172
101.000	201.000	1	1	1	498.933	105.441	195.172
101.000	202.000	1	1	1	402.698	105.441	195.172
101.000	203.000	1	1	1	272.402	105.441	195.172
101.000	204.000	1	1	1	224.907	105.441	195.172
101.000	205.000	1	1	1	211.720	105.441	195.172
101.000	206.000	1	1	1	219.242	105.441	195.172
101.000	207.000	1	1	1	182.326	105.441	195.172
101.707	207.707	1	1	1	180.654	105.441	195.172
102.000	208.663	1	1	1	139.553	105.441	195.172
102.000	209.663	1	1	1	118.838	105.441	195.172
102.000	210.663	1	1	1	108.825	105.441	195.172
102.942	211.000	1	1	1	114.934	105.441	195.172
103.000	211.998	1	1	1	119.608	105.441	195.172
103.000	212.998	1	1	1	129.675	105.441	195.172
103.000	213.998	1	1	1	187.035	105.441	195.172
104.000	214.000	1	1	1	234.359	105.441	195.172
104.000	215.000	1	1	1	319.489	105.441	195.172
104.000	216.000	1	1	1	473.337	105.441	195.172
104.000	217.000	1	1	1	572.728	105.441	195.172
105.000	217.000	1	1	1	526.481	105.441	195.172
105.000	218.000	1	1	1	460.549	105.441	195.172
105.000	219.000	1	1	1	299.524	105.441	195.172
105.000	220.000	1	1	1	197.722	105.441	195.172
105.000	221.000	1	1	1	161.336	105.441	195.172
105.707	221.707	1	1	1	151.927	105.441	195.172
106.000	222.663	1	1	1	138.155	105.441	195.172
106.000	223.663	1	1	1	132.920	105.441	195.172
106.000	224.663	1	1	1	164.001	105.441	195.172
106.000	225.663	1	1	1	236.054	105.441	195.172
106.942	226.000	1	1	1	331.655	105.441	195.172
107.000	226.998	1	1	1	433.575	105.441	195.172
107.000	227.998	1	1	1	491.714	105.441	195.172
107.000	228.998	1	1	1	426.301	105.441	195.172
107.000	229.998	1	1	1	303.247	105.441	195.172
108.000	230.000	1	1	1	241.184	105.441	195.172
108.000	231.000	1	1	1	183.190	105.441	195.172
109.000	231.000	1	1	1	155.112	105.441	195.172
109.000	232.000	1	1	1	131.333	105.441	195.172
110.000	232.000	1	1	1	143.185	105.441	195.172
110.000	233.000	1	1	1	139.173	105.441	195.172
110.707	233.707	1	1	1	157.620	105.441	195.172
111.663	234.000	1	1	1	215.889	105.441	195.172
112.000	234.942	1	1	1	310.774	105.441	195.172
112.998	235.000	1	1	1	446.732	105.441	195.172
113.000	236.000	1	1	1	607.801	105.441	195.172
113.707	236.707	1	1	1	705.028	105.441	195.172
114.414	237.414	1	1	1	697.960	105.441	195.172
115.000	238.225	1	1	1	518.025	105.441	195.172
115.204	239.204	1	1	1	338.744	105.441	195.172
115.911	239.911	1	1	1	236.838	105.441	195.172
116.618	240.618	1	1	1	181.060	105.441	195.172
117.325	241.325	1	1	1	159.176	105.441	195.172
118.000	242.063	1	1	1	142.102	105.441	195.172
118.061	243.061	1	1	1	127.034	105.441	195.172
118.768	243.768	1	1	1	123.068	105.441	195.172
119.000	244.741	1	1	1	137.153	105.441	195.172
119.966	245.000	1	1	1	142.650	105.441	195.172
120.000	245.999	1	1	1	134.427	105.441	195.172
120.707	246.707	1	1	1	130.643	105.441	195.172
