X	Y	C	Z	T	Intensity	BG	MX
857.000	491.000	1	1	1	109.655	104.001	162.842
857.000	492.000	1	1	1	104.666	104.001	162.842
856.553	492.894	1	1	1	106.443	104.001	162.842
856.106	493.789	1	1	1	107.427	104.001	162.842
856.000	494.783	1	1	1	105.163	104.001	162.842
856.000	495.783	1	1	1	111.747	104.001	162.842
855.642	496.717	1	1	1	106.741	104.001	162.842
855.194	497.611	1	1	1	105.496	104.001	162.842
855.000	498.592	1	1	1	105.473	104.001	162.842
854.723	499.553	1	1	1	107.566	104.001	162.842
854.276	500.448	1	1	1	108.841	104.001	162.842
854.000	501.409	1	1	1	106.305	104.001	162.842
854.000	502.409	1	1	1	107.890	104.001	162.842
853.194	503.000	1	1	1	106.366	104.001	162.842
853.000	503.981	1	1	1	110.484	104.001	162.842
853.000	504.981	1	1	1	114.235	104.001	162.842
853.000	505.981	1	1	1	111.078	104.001	162.842
853.000	506.981	1	1	1	110.021	104.001	162.842
853.000	507.981	1	1	1	103.457	104.001	162.842
853.000	508.981	1	1	1	107.269	104.001	162.842
853.000	509.981	1	1	1	106.676	104.001	162.842
853.000	510.981	1	1	1	109.632	104.001	162.842
853.000	511.981	1	1	1	110.658	104.001	162.842
853.000	512.981	1	1	1	108.680	104.001	162.842
853.000	513.981	1	1	1	112.317	104.001	162.842
853.000	514.981	1	1	1	109.672	104.001	162.842
853.000	515.981	1	1	1	111.666	104.001	162.842
853.000	516.981	1	1	1	109.002	104.001	162.842
853.000	517.981	1	1	1	109.658	104.001	162.842
853.000	518.981	1	1	1	108.008	104.001	162.842
853.000	519.981	1	1	1	109.073	104.001	162.842
853.000	520.981	1	1	1	113.390	104.001	162.842
853.440	521.879	1	1	1	113.958	104.001	162.842
853.887	522.774	1	1	1	111.776	104.001	162.842
854.000	523.767	1	1	1	114.966	104.001	162.842
854.000	524.767	1	1	1	111.074	104.001	162.842
854.000	525.767	1	1	1	107.329	104.001	162.842
854.000	526.767	1	1	1	112.254	104.001	162.842
854.000	527.767	1	1	1	116.091	104.001	162.842
854.352	528.703	1	1	1	107.198	104.001	162.842
854.799	529.598	1	1	1	114.583	104.001	162.842
855.000	530.577	1	1	1	110.316	104.001	162.842
855.000	531.577	1	1	1	108.431	104.001	162.842
855.464	532.464	1	1	1	106.508	104.001	162.842
856.000	533.307	1	1	1	110.485	104.001	162.842
856.270	534.270	1	1	1	114.699	104.001	162.842
856.977	534.977	1	1	1	112.362	104.001	162.842
857.000	535.977	1	1	1	107.407	104.001	162.842
857.000	536.977	1	1	1	111.656	104.001	162.842
857.000	537.977	1	1	1	110.315	104.001	162.842
857.000	538.977	1	1	1	108.692	104.001	162.842
857.000	539.977	1	1	1	108.688	104.001	162.842
