X	Y	C	Z	T	Intensity	BG	MX
581.000	768.000	2	1	1	113.927	100.788	301.441
580.293	768.707	2	1	1	115.768	100.788	301.441
580.000	769.663	2	1	1	118.981	100.788	301.441
580.000	770.663	2	1	1	117.559	100.788	301.441
579.482	771.518	2	1	1	116.081	100.788	301.441
579.000	772.395	2	1	1	113.098	100.788	301.441
579.000	773.395	2	1	1	109.906	100.788	301.441
579.000	774.395	2	1	1	111.649	100.788	301.441
579.000	775.395	2	1	1	112.310	100.788	301.441
579.000	776.395	2	1	1	114.192	100.788	301.441
579.000	777.395	2	1	1	110.166	100.788	301.441
579.000	778.395	2	1	1	108.073	100.788	301.441
579.000	779.395	2	1	1	110.813	100.788	301.441
579.000	780.395	2	1	1	114.876	100.788	301.441
579.000	781.395	2	1	1	111.812	100.788	301.441
579.000	782.395	2	1	1	112.196	100.788	301.441
579.000	783.395	2	1	1	115.929	100.788	301.441
579.000	784.395	2	1	1	113.661	100.788	301.441
579.000	785.395	2	1	1	111.585	100.788	301.441
579.000	786.395	2	1	1	112.719	100.788	301.441
579.000	787.395	2	1	1	114.890	100.788	301.441
579.000	788.395	2	1	1	112.059	100.788	301.441
579.000	789.395	2	1	1	116.497	100.788	301.441
579.000	790.395	2	1	1	117.091	100.788	301.441
579.000	791.395	2	1	1	110.564	100.788	301.441
579.000	792.395	2	1	1	112.826	100.788	301.441
579.000	793.395	2	1	1	114.060	100.788	301.441
579.000	794.395	2	1	1	115.211	100.788	301.441
579.000	795.395	2	1	1	110.485	100.788	301.441
579.000	796.395	2	1	1	108.714	100.788	301.441
579.000	797.395	2	1	1	107.513	100.788	301.441
579.000	798.395	2	1	1	107.982	100.788	301.441
579.000	799.395	2	1	1	110.729	100.788	301.441
579.000	800.395	2	1	1	108.217	100.788	301.441
578.664	801.336	2	1	1	109.571	100.788	301.441
578.000	802.085	2	1	1	108.350	100.788	301.441
578.000	803.085	2	1	1	108.334	100.788	301.441
578.000	804.085	2	1	1	108.093	100.788	301.441
578.000	805.085	2	1	1	106.527	100.788	301.441
578.000	806.085	2	1	1	109.530	100.788	301.441
578.000	807.085	2	1	1	119.723	100.788	301.441
578.000	808.085	2	1	1	112.082	100.788	301.441
