X	Y	C	Z	T	Intensity	BG	MX
480.000	639.000	1	1	1	154.990	101.315	147.305
481.000	639.000	1	1	1	156.367	101.315	147.305
482.000	639.000	1	1	1	162.593	101.315	147.305
483.000	639.000	1	1	1	149.724	101.315	147.305
483.707	639.707	1	1	1	152.775	101.315	147.305
484.663	640.000	1	1	1	159.666	101.315	147.305
485.518	640.518	1	1	1	160.131	101.315	147.305
486.225	641.226	1	1	1	150.597	101.315	147.305
486.933	641.933	1	1	1	157.300	101.315	147.305
487.930	642.000	1	1	1	162.813	101.315	147.305
488.671	642.671	1	1	1	156.512	101.315	147.305
489.616	643.000	1	1	1	154.333	101.315	147.305
490.000	643.923	1	1	1	152.710	101.315	147.305
490.668	644.668	1	1	1	152.321	101.315	147.305
491.000	645.611	1	1	1	154.826	101.315	147.305
491.485	646.485	1	1	1	142.018	101.315	147.305
492.000	647.343	1	1	1	144.277	101.315	147.305
492.297	648.297	1	1	1	145.766	101.315	147.305
493.000	649.009	1	1	1	144.662	101.315	147.305
493.133	650.000	1	1	1	149.022	101.315	147.305
494.125	650.125	1	1	1	145.371	101.315	147.305
494.832	650.832	1	1	1	148.851	101.315	147.305
495.000	651.818	1	1	1	159.295	101.315	147.305
495.983	652.000	1	1	1	156.104	101.315	147.305
496.699	652.699	1	1	1	146.833	101.315	147.305
497.406	653.406	1	1	1	138.806	101.315	147.305
498.210	654.000	1	1	1	150.094	101.315	147.305
499.210	654.000	1	1	1	140.909	101.315	147.305
500.192	654.192	1	1	1	148.317	101.315	147.305
500.899	654.899	1	1	1	155.851	101.315	147.305
501.894	655.000	1	1	1	159.523	101.315	147.305
502.000	655.994	1	1	1	160.054	101.315	147.305
503.000	656.000	1	1	1	154.815	101.315	147.305
504.000	656.000	1	1	1	153.414	101.315	147.305
505.000	656.000	1	1	1	155.925	101.315	147.305
505.000	657.000	1	1	1	156.928	101.315	147.305
506.000	657.000	1	1	1	151.633	101.315	147.305
506.894	657.447	1	1	1	151.965	101.315	147.305
507.789	657.894	1	1	1	160.158	101.315	147.305
508.000	658.872	1	1	1	159.061	101.315	147.305
