X	Y	C	Z	T	Intensity	BG	MX
794.000	645.000	1	1	1	142.613	101.136	181.568
794.000	646.000	1	1	1	138.004	101.136	181.568
793.000	646.000	1	1	1	160.920	101.136	181.568
793.000	647.000	1	1	1	177.166	101.136	181.568
793.000	648.000	1	1	1	177.067	101.136	181.568
793.000	649.000	1	1	1	176.709	101.136	181.568
793.000	650.000	1	1	1	192.940	101.136	181.568
793.000	651.000	1	1	1	202.580	101.136	181.568
793.707	651.707	1	1	1	227.988	101.136	181.568
794.000	652.663	1	1	1	285.931	101.136	181.568
794.000	653.663	1	1	1	322.619	101.136	181.568
794.000	654.663	1	1	1	324.101	101.136	181.568
794.518	655.518	1	1	1	323.002	101.136	181.568
795.000	656.395	1	1	1	296.548	101.136	181.568
795.336	657.336	1	1	1	287.848	101.136	181.568
796.044	658.044	1	1	1	277.656	101.136	181.568
796.751	658.751	1	1	1	263.935	101.136	181.568
797.000	659.719	1	1	1	247.825	101.136	181.568
797.000	660.719	1	1	1	213.355	101.136	181.568
797.000	661.719	1	1	1	184.886	101.136	181.568
797.553	662.553	1	1	1	169.910	101.136	181.568
798.000	663.447	1	1	1	157.680	101.136	181.568
798.000	664.447	1	1	1	159.363	101.136	181.568
798.000	665.447	1	1	1	157.867	101.136	181.568
798.000	666.447	1	1	1	152.424	101.136	181.568
798.000	667.447	1	1	1	146.017	101.136	181.568
798.000	668.447	1	1	1	150.843	101.136	181.568
798.000	669.447	1	1	1	149.612	101.136	181.568
798.000	670.447	1	1	1	148.705	101.136	181.568
798.212	671.424	1	1	1	142.541	101.136	181.568
798.659	672.319	1	1	1	146.347	101.136	181.568
799.000	673.259	1	1	1	145.801	101.136	181.568
799.000	674.259	1	1	1	137.431	101.136	181.568
799.000	675.259	1	1	1	132.636	101.136	181.568
799.232	676.232	1	1	1	134.662	101.136	181.568
799.939	676.939	1	1	1	150.645	101.136	181.568
800.000	677.937	1	1	1	162.777	101.136	181.568
800.000	678.937	1	1	1	165.179	101.136	181.568
800.000	679.937	1	1	1	165.632	101.136	181.568
800.000	680.937	1	1	1	155.223	101.136	181.568
800.000	681.937	1	1	1	149.651	101.136	181.568
800.000	682.937	1	1	1	146.855	101.136	181.568
800.998	683.000	1	1	1	153.307	101.136	181.568
