X	Y	C	Z	T	Intensity	BG	MX
819.000	613.000	3	1	1	328.998	103.974	168.138
818.000	613.000	3	1	1	363.350	103.974	168.138
817.000	613.000	3	1	1	380.470	103.974	168.138
816.000	613.000	3	1	1	366.813	103.974	168.138
815.000	613.000	3	1	1	342.189	103.974	168.138
814.293	613.707	3	1	1	301.843	103.974	168.138
813.337	614.000	3	1	1	293.320	103.974	168.138
813.000	614.942	3	1	1	278.153	103.974	168.138
812.002	615.000	3	1	1	279.385	103.974	168.138
812.000	616.000	3	1	1	299.203	103.974	168.138
811.000	616.000	3	1	1	292.067	103.974	168.138
811.000	617.000	3	1	1	305.253	103.974	168.138
810.000	617.000	3	1	1	296.841	103.974	168.138
810.000	618.000	3	1	1	294.799	103.974	168.138
809.293	618.707	3	1	1	279.579	103.974	168.138
808.586	619.414	3	1	1	261.530	103.974	168.138
807.879	620.121	3	1	1	248.577	103.974	168.138
807.172	620.828	3	1	1	236.444	103.974	168.138
806.186	621.000	3	1	1	245.484	103.974	168.138
805.392	621.608	3	1	1	244.219	103.974	168.138
804.685	622.315	3	1	1	248.388	103.974	168.138
803.957	623.000	3	1	1	255.881	103.974	168.138
802.957	623.000	3	1	1	244.970	103.974	168.138
801.958	623.042	3	1	1	235.822	103.974	168.138
801.251	623.749	3	1	1	239.645	103.974	168.138
800.282	624.000	3	1	1	232.509	103.974	168.138
799.282	624.000	3	1	1	219.339	103.974	168.138
799.000	624.959	3	1	1	215.866	103.974	168.138
798.001	625.000	3	1	1	228.617	103.974	168.138
797.293	625.707	3	1	1	246.249	103.974	168.138
796.337	626.000	3	1	1	238.251	103.974	168.138
795.482	626.518	3	1	1	230.687	103.974	168.138
794.606	627.000	3	1	1	213.723	103.974	168.138
793.606	627.000	3	1	1	209.506	103.974	168.138
792.664	627.336	3	1	1	226.764	103.974	168.138
791.916	628.000	3	1	1	249.572	103.974	168.138
791.000	628.401	3	1	1	268.453	103.974	168.138
790.199	629.000	3	1	1	304.062	103.974	168.138
789.199	629.000	3	1	1	311.322	103.974	168.138
788.199	629.000	3	1	1	328.571	103.974	168.138
787.400	629.600	3	1	1	317.038	103.974	168.138
786.483	630.000	3	1	1	336.323	103.974	168.138
785.483	630.000	3	1	1	363.477	103.974	168.138
784.577	630.423	3	1	1	358.961	103.974	168.138
783.760	631.000	3	1	1	360.894	103.974	168.138
783.000	631.650	3	1	1	360.205	103.974	168.138
782.063	632.000	3	1	1	347.501	103.974	168.138
781.566	632.868	3	1	1	341.474	103.974	168.138
781.119	633.762	3	1	1	318.395	103.974	168.138
780.474	634.526	3	1	1	290.096	103.974	168.138
779.847	635.306	3	1	1	302.318	103.974	168.138
779.400	636.200	3	1	1	312.301	103.974	168.138
778.953	637.094	3	1	1	312.858	103.974	168.138
778.506	637.989	3	1	1	344.083	103.974	168.138
778.058	638.883	3	1	1	339.664	103.974	168.138
777.381	639.619	3	1	1	341.226	103.974	168.138
777.000	640.544	3	1	1	341.895	103.974	168.138
777.000	641.544	3	1	1	372.787	103.974	168.138
776.559	642.441	3	1	1	391.783	103.974	168.138
776.000	643.270	3	1	1	396.009	103.974	168.138
775.759	644.241	3	1	1	409.836	103.974	168.138
775.052	644.948	3	1	1	400.454	103.974	168.138
775.000	645.946	3	1	1	365.759	103.974	168.138
774.001	646.000	3	1	1	376.157	103.974	168.138
774.000	647.000	3	1	1	313.439	103.974	168.138
774.000	648.000	3	1	1	300.170	103.974	168.138
774.000	649.000	3	1	1	260.929	103.974	168.138
773.293	649.707	3	1	1	283.774	103.974	168.138
772.732	650.535	3	1	1	286.096	103.974	168.138
772.285	651.430	3	1	1	309.373	103.974	168.138
771.838	652.324	3	1	1	314.566	103.974	168.138
771.391	653.219	3	1	1	325.070	103.974	168.138
771.000	654.139	3	1	1	318.622	103.974	168.138
770.932	655.137	3	1	1	311.021	103.974	168.138
770.484	656.031	3	1	1	310.452	103.974	168.138
770.037	656.926	3	1	1	286.268	103.974	168.138
770.000	657.925	3	1	1	267.716	103.974	168.138
770.000	658.925	3	1	1	248.932	103.974	168.138
770.000	659.925	3	1	1	256.997	103.974	168.138
770.000	660.925	3	1	1	251.340	103.974	168.138
770.000	661.925	3	1	1	251.272	103.974	168.138
770.000	662.925	3	1	1	261.637	103.974	168.138
770.000	663.925	3	1	1	283.284	103.974	168.138
770.000	664.925	3	1	1	309.596	103.974	168.138
770.000	665.925	3	1	1	290.111	103.974	168.138
770.000	666.925	3	1	1	305.211	103.974	168.138
770.000	667.925	3	1	1	274.542	103.974	168.138
770.744	667.256	3	1	1	277.356	103.974	168.138
771.451	666.549	3	1	1	265.810	103.974	168.138
