X	Y	C	Z	T	Intensity	BG	MX
455.000	734.000	1	1	1	116.300	102.356	139.336
455.000	735.000	1	1	1	111.800	102.356	139.336
456.000	735.000	1	1	1	110.617	102.356	139.336
456.000	736.000	1	1	1	107.576	102.356	139.336
456.000	737.000	1	1	1	108.610	102.356	139.336
457.000	737.000	1	1	1	105.785	102.356	139.336
457.000	738.000	1	1	1	106.081	102.356	139.336
457.000	739.000	1	1	1	106.389	102.356	139.336
457.000	740.000	1	1	1	106.204	102.356	139.336
458.000	740.000	1	1	1	107.698	102.356	139.336
458.000	741.000	1	1	1	107.093	102.356	139.336
458.000	742.000	1	1	1	105.744	102.356	139.336
458.000	743.000	1	1	1	106.399	102.356	139.336
459.000	743.000	1	1	1	111.977	102.356	139.336
459.000	744.000	1	1	1	115.033	102.356	139.336
459.000	745.000	1	1	1	124.800	102.356	139.336
459.000	746.000	1	1	1	139.782	102.356	139.336
459.707	746.707	1	1	1	162.613	102.356	139.336
460.000	747.663	1	1	1	186.768	102.356	139.336
460.000	748.663	1	1	1	223.953	102.356	139.336
460.000	749.663	1	1	1	275.950	102.356	139.336
460.000	750.663	1	1	1	323.404	102.356	139.336
460.000	751.663	1	1	1	372.024	102.356	139.336
460.518	752.518	1	1	1	368.129	102.356	139.336
461.000	753.395	1	1	1	385.697	102.356	139.336
461.000	754.395	1	1	1	384.997	102.356	139.336
461.000	755.395	1	1	1	361.592	102.356	139.336
461.000	756.395	1	1	1	323.834	102.356	139.336
461.796	757.000	1	1	1	269.662	102.356	139.336
462.000	757.979	1	1	1	197.674	102.356	139.336
462.000	758.979	1	1	1	157.575	102.356	139.336
462.000	759.979	1	1	1	133.692	102.356	139.336
463.000	760.000	1	1	1	135.626	102.356	139.336
463.000	761.000	1	1	1	121.962	102.356	139.336
463.000	762.000	1	1	1	112.295	102.356	139.336
464.000	762.000	1	1	1	118.571	102.356	139.336
464.000	763.000	1	1	1	118.338	102.356	139.336
464.707	763.707	1	1	1	123.488	102.356	139.336
465.000	764.663	1	1	1	123.025	102.356	139.336
465.942	765.000	1	1	1	125.183	102.356	139.336
466.000	765.998	1	1	1	139.781	102.356	139.336
467.000	766.000	1	1	1	149.703	102.356	139.336
467.707	766.707	1	1	1	166.289	102.356	139.336
468.000	767.663	1	1	1	177.500	102.356	139.336
468.942	768.000	1	1	1	197.318	102.356	139.336
469.000	768.998	1	1	1	200.070	102.356	139.336
470.000	769.000	1	1	1	208.583	102.356	139.336
471.000	769.000	1	1	1	215.791	102.356	139.336
471.000	770.000	1	1	1	216.257	102.356	139.336
