X	Y	C	Z	T	Intensity	BG	MX
424.000	745.000	2	1	1	108.004	100.737	117.548
424.000	746.000	2	1	1	99.023	100.737	117.548
424.000	747.000	2	1	1	107.936	100.737	117.548
423.293	747.707	2	1	1	107.960	100.737	117.548
422.732	748.535	2	1	1	107.237	100.737	117.548
422.285	749.430	2	1	1	107.523	100.737	117.548
422.000	750.388	2	1	1	107.088	100.737	117.548
421.873	751.380	2	1	1	108.626	100.737	117.548
421.557	752.329	2	1	1	108.168	100.737	117.548
421.241	753.277	2	1	1	106.924	100.737	117.548
421.000	754.248	2	1	1	105.484	100.737	117.548
421.000	755.248	2	1	1	106.282	100.737	117.548
421.000	756.248	2	1	1	103.787	100.737	117.548
421.000	757.248	2	1	1	104.534	100.737	117.548
421.000	758.248	2	1	1	102.540	100.737	117.548
421.000	759.248	2	1	1	106.324	100.737	117.548
420.777	760.223	2	1	1	107.701	100.737	117.548
420.070	760.930	2	1	1	107.874	100.737	117.548
420.000	761.928	2	1	1	105.670	100.737	117.548
420.000	762.928	2	1	1	106.791	100.737	117.548
420.000	763.928	2	1	1	104.669	100.737	117.548
420.000	764.928	2	1	1	108.111	100.737	117.548
420.000	765.928	2	1	1	108.086	100.737	117.548
420.000	766.928	2	1	1	107.130	100.737	117.548
420.000	767.928	2	1	1	112.506	100.737	117.548
420.000	768.928	2	1	1	104.069	100.737	117.548
420.000	769.928	2	1	1	100.064	100.737	117.548
420.000	770.928	2	1	1	100.822	100.737	117.548
420.000	771.928	2	1	1	108.216	100.737	117.548
420.000	772.928	2	1	1	106.450	100.737	117.548
420.000	773.928	2	1	1	106.576	100.737	117.548
420.000	774.928	2	1	1	106.667	100.737	117.548
420.000	775.928	2	1	1	106.379	100.737	117.548
420.000	776.928	2	1	1	106.046	100.737	117.548
420.000	777.928	2	1	1	108.008	100.737	117.548
420.000	778.928	2	1	1	105.467	100.737	117.548
420.000	779.928	2	1	1	105.859	100.737	117.548
420.000	780.928	2	1	1	101.710	100.737	117.548
420.000	781.928	2	1	1	101.571	100.737	117.548
420.000	782.928	2	1	1	105.092	100.737	117.548
420.000	783.928	2	1	1	102.249	100.737	117.548
420.000	784.928	2	1	1	106.232	100.737	117.548
420.000	785.928	2	1	1	110.375	100.737	117.548
419.330	786.670	2	1	1	106.814	100.737	117.548
419.000	787.614	2	1	1	102.190	100.737	117.548
