X	Y	C	Z	T	Intensity	BG	MX
444.000	600.000	1	5	1	113.173	102.770	145.432
443.000	600.000	1	5	1	114.325	102.770	145.432
443.000	601.000	1	5	1	114.694	102.770	145.432
442.293	601.707	1	5	1	111.849	102.770	145.432
441.337	602.000	1	5	1	107.867	102.770	145.432
440.482	602.518	1	5	1	113.596	102.770	145.432
439.775	603.226	1	5	1	112.782	102.770	145.432
439.067	603.933	1	5	1	112.372	102.770	145.432
438.360	604.640	1	5	1	110.652	102.770	145.432
437.653	605.347	1	5	1	113.753	102.770	145.432
436.946	606.054	1	5	1	109.754	102.770	145.432
436.239	606.761	1	5	1	109.940	102.770	145.432
435.532	607.468	1	5	1	115.184	102.770	145.432
435.000	608.315	1	5	1	118.744	102.770	145.432
434.724	609.276	1	5	1	112.916	102.770	145.432
434.017	609.983	1	5	1	114.813	102.770	145.432
433.310	610.690	1	5	1	109.664	102.770	145.432
432.359	611.000	1	5	1	110.228	102.770	145.432
432.000	611.933	1	5	1	113.857	102.770	145.432
431.002	612.000	1	5	1	126.832	102.770	145.432
431.000	613.000	1	5	1	140.726	102.770	145.432
430.000	613.000	1	5	1	164.513	102.770	145.432
430.000	614.000	1	5	1	177.548	102.770	145.432
429.000	614.000	1	5	1	194.111	102.770	145.432
428.293	614.707	1	5	1	210.728	102.770	145.432
427.337	615.000	1	5	1	199.310	102.770	145.432
427.000	615.942	1	5	1	189.271	102.770	145.432
426.002	616.000	1	5	1	151.869	102.770	145.432
425.294	616.706	1	5	1	130.656	102.770	145.432
424.338	617.000	1	5	1	117.910	102.770	145.432
424.000	617.941	1	5	1	117.186	102.770	145.432
423.002	618.000	1	5	1	119.128	102.770	145.432
423.000	619.000	1	5	1	121.253	102.770	145.432
422.000	619.000	1	5	1	116.867	102.770	145.432
421.293	619.707	1	5	1	114.691	102.770	145.432
420.337	620.000	1	5	1	114.798	102.770	145.432
420.000	620.942	1	5	1	112.691	102.770	145.432
419.002	621.000	1	5	1	109.293	102.770	145.432
419.000	622.000	1	5	1	110.483	102.770	145.432
418.000	622.000	1	5	1	107.648	102.770	145.432
418.000	623.000	1	5	1	108.960	102.770	145.432
417.293	623.707	1	5	1	112.656	102.770	145.432
416.586	624.414	1	5	1	115.391	102.770	145.432
416.000	625.225	1	5	1	109.031	102.770	145.432
415.368	626.000	1	5	1	113.851	102.770	145.432
415.000	626.930	1	5	1	111.850	102.770	145.432
415.000	627.930	1	5	1	110.978	102.770	145.432
414.329	628.671	1	5	1	115.564	102.770	145.432
413.622	629.378	1	5	1	110.660	102.770	145.432
412.915	630.085	1	5	1	109.115	102.770	145.432
412.208	630.792	1	5	1	111.322	102.770	145.432
412.000	631.771	1	5	1	108.455	102.770	145.432
411.417	632.583	1	5	1	110.052	102.770	145.432
411.000	633.492	1	5	1	115.855	102.770	145.432
411.000	634.492	1	5	1	110.028	102.770	145.432
410.139	635.000	1	5	1	110.832	102.770	145.432
410.000	635.990	1	5	1	111.470	102.770	145.432
410.000	636.990	1	5	1	107.099	102.770	145.432
410.000	637.990	1	5	1	117.857	102.770	145.432
409.298	638.702	1	5	1	117.065	102.770	145.432
409.000	639.657	1	5	1	116.515	102.770	145.432
409.000	640.657	1	5	1	118.173	102.770	145.432
409.939	641.000	1	5	1	115.251	102.770	145.432
