X	Y	C	Z	T	Intensity	BG	MX
178.500	87.250	3	1	1	121.122	109.040	200.358
177.574	87.628	3	1	1	124.607	109.040	200.358
176.648	88.005	3	1	1	120.944	109.040	200.358
175.722	88.383	3	1	1	116.053	109.040	200.358
174.796	88.761	3	1	1	118.508	109.040	200.358
173.870	89.138	3	1	1	118.164	109.040	200.358
172.944	89.516	3	1	1	121.168	109.040	200.358
172.018	89.892	3	1	1	119.955	109.040	200.358
171.087	90.258	3	1	1	115.418	109.040	200.358
170.156	90.623	3	1	1	117.939	109.040	200.358
169.225	90.989	3	1	1	125.380	109.040	200.358
168.295	91.354	3	1	1	119.694	109.040	200.358
167.364	91.720	3	1	1	116.287	109.040	200.358
166.433	92.086	3	1	1	116.643	109.040	200.358
165.502	92.451	3	1	1	121.320	109.040	200.358
164.572	92.817	3	1	1	114.778	109.040	200.358
163.641	93.183	3	1	1	118.469	109.040	200.358
162.721	93.576	3	1	1	116.299	109.040	200.358
161.893	94.136	3	1	1	115.288	109.040	200.358
161.064	94.695	3	1	1	116.660	109.040	200.358
160.236	95.255	3	1	1	122.390	109.040	200.358
159.407	95.815	3	1	1	122.199	109.040	200.358
158.578	96.375	3	1	1	115.337	109.040	200.358
157.750	96.935	3	1	1	119.313	109.040	200.358
156.921	97.495	3	1	1	116.132	109.040	200.358
156.093	98.055	3	1	1	116.098	109.040	200.358
155.264	98.614	3	1	1	115.832	109.040	200.358
154.435	99.174	3	1	1	115.747	109.040	200.358
153.607	99.734	3	1	1	118.748	109.040	200.358
152.778	100.294	3	1	1	117.627	109.040	200.358
151.950	100.854	3	1	1	117.129	109.040	200.358
151.121	101.414	3	1	1	118.521	109.040	200.358
150.288	101.967	3	1	1	123.985	109.040	200.358
149.444	102.502	3	1	1	117.363	109.040	200.358
148.599	103.037	3	1	1	118.050	109.040	200.358
147.754	103.573	3	1	1	123.401	109.040	200.358
146.909	104.108	3	1	1	117.217	109.040	200.358
146.064	104.643	3	1	1	120.487	109.040	200.358
145.219	105.178	3	1	1	123.057	109.040	200.358
144.375	105.713	3	1	1	116.239	109.040	200.358
143.530	106.248	3	1	1	122.421	109.040	200.358
142.685	106.783	3	1	1	113.058	109.040	200.358
141.840	107.318	3	1	1	118.479	109.040	200.358
140.995	107.853	3	1	1	121.668	109.040	200.358
140.127	108.349	3	1	1	119.265	109.040	200.358
139.229	108.789	3	1	1	115.551	109.040	200.358
138.331	109.229	3	1	1	117.088	109.040	200.358
137.433	109.669	3	1	1	122.883	109.040	200.358
136.535	110.109	3	1	1	118.720	109.040	200.358
135.637	110.549	3	1	1	111.782	109.040	200.358
134.739	110.988	3	1	1	119.342	109.040	200.358
133.841	111.428	3	1	1	121.928	109.040	200.358
132.943	111.868	3	1	1	123.713	109.040	200.358
132.143	112.468	3	1	1	119.683	109.040	200.358
131.608	113.313	3	1	1	116.896	109.040	200.358
131.074	114.159	3	1	1	117.778	109.040	200.358
130.540	115.004	3	1	1	115.146	109.040	200.358
130.006	115.849	3	1	1	110.846	109.040	200.358
129.471	116.695	3	1	1	114.275	109.040	200.358
128.937	117.540	3	1	1	115.951	109.040	200.358
128.403	118.385	3	1	1	119.684	109.040	200.358
127.868	119.231	3	1	1	115.617	109.040	200.358
127.334	120.076	3	1	1	118.940	109.040	200.358
126.800	120.921	3	1	1	117.782	109.040	200.358
126.159	121.689	3	1	1	119.514	109.040	200.358
125.509	122.448	3	1	1	123.205	109.040	200.358
124.858	123.208	3	1	1	117.355	109.040	200.358
124.207	123.967	3	1	1	117.968	109.040	200.358
123.556	124.726	3	1	1	117.176	109.040	200.358
122.905	125.485	3	1	1	113.044	109.040	200.358
122.255	126.245	3	1	1	118.847	109.040	200.358
121.604	127.004	3	1	1	111.425	109.040	200.358
120.953	127.763	3	1	1	115.217	109.040	200.358
120.302	128.522	3	1	1	111.700	109.040	200.358
119.651	129.282	3	1	1	113.480	109.040	200.358
119.005	130.044	3	1	1	118.816	109.040	200.358
118.364	130.813	3	1	1	114.551	109.040	200.358
117.724	131.581	3	1	1	115.920	109.040	200.358
117.084	132.349	3	1	1	114.158	109.040	200.358
116.444	133.117	3	1	1	119.929	109.040	200.358
115.804	133.886	3	1	1	117.445	109.040	200.358
115.164	134.654	3	1	1	118.007	109.040	200.358
114.523	135.422	3	1	1	113.005	109.040	200.358
113.883	136.190	3	1	1	111.406	109.040	200.358
113.243	136.958	3	1	1	111.979	109.040	200.358
112.603	137.727	3	1	1	112.614	109.040	200.358
111.963	138.495	3	1	1	116.052	109.040	200.358
111.349	139.285	3	1	1	111.576	109.040	200.358
110.749	140.085	3	1	1	111.605	109.040	200.358
110.149	140.885	3	1	1	115.384	109.040	200.358
109.549	141.685	3	1	1	111.047	109.040	200.358
108.949	142.485	3	1	1	114.000	109.040	200.358
108.349	143.285	3	1	1	114.560	109.040	200.358
107.749	144.085	3	1	1	116.816	109.040	200.358
107.149	144.885	3	1	1	114.632	109.040	200.358
106.549	145.685	3	1	1	110.827	109.040	200.358
105.949	146.485	3	1	1	113.251	109.040	200.358
105.349	147.285	3	1	1	116.658	109.040	200.358
104.730	148.070	3	1	1	111.080	109.040	200.358
104.086	148.835	3	1	1	113.321	109.040	200.358
103.442	149.600	3	1	1	122.614	109.040	200.358
102.798	150.365	3	1	1	115.711	109.040	200.358
102.154	151.130	3	1	1	113.254	109.040	200.358
101.510	151.895	3	1	1	114.447	109.040	200.358
100.866	152.660	3	1	1	111.292	109.040	200.358
100.221	153.425	3	1	1	110.946	109.040	200.358
99.577	154.189	3	1	1	112.465	109.040	200.358
98.933	154.954	3	1	1	117.543	109.040	200.358
98.296	155.725	3	1	1	115.759	109.040	200.358
97.751	156.564	3	1	1	113.968	109.040	200.358
97.207	157.402	3	1	1	119.071	109.040	200.358
96.663	158.241	3	1	1	112.509	109.040	200.358
96.118	159.080	3	1	1	112.597	109.040	200.358
95.574	159.919	3	1	1	112.067	109.040	200.358
95.029	160.758	3	1	1	112.593	109.040	200.358
94.485	161.597	3	1	1	110.113	109.040	200.358
93.941	162.436	3	1	1	113.546	109.040	200.358
93.396	163.274	3	1	1	113.615	109.040	200.358
93.070	164.220	3	1	1	112.229	109.040	200.358
92.828	165.190	3	1	1	113.348	109.040	200.358
92.585	166.160	3	1	1	113.093	109.040	200.358
92.342	167.130	3	1	1	110.912	109.040	200.358
92.100	168.100	3	1	1	112.792	109.040	200.358
91.857	169.070	3	1	1	112.087	109.040	200.358
91.615	170.041	3	1	1	113.943	109.040	200.358
91.372	171.011	3	1	1	112.116	109.040	200.358
91.130	171.981	3	1	1	110.206	109.040	200.358
90.887	172.951	3	1	1	113.160	109.040	200.358
90.645	173.921	3	1	1	114.416	109.040	200.358
90.472	174.906	3	1	1	113.027	109.040	200.358
90.402	175.904	3	1	1	110.875	109.040	200.358
90.332	176.901	3	1	1	111.100	109.040	200.358
90.261	177.899	3	1	1	111.786	109.040	200.358
90.191	178.896	3	1	1	112.822	109.040	200.358
90.121	179.894	3	1	1	112.277	109.040	200.358
90.051	180.891	3	1	1	113.402	109.040	200.358
89.981	181.889	3	1	1	113.729	109.040	200.358
89.911	182.886	3	1	1	113.980	109.040	200.358
89.841	183.884	3	1	1	111.064	109.040	200.358
89.771	184.881	3	1	1	114.106	109.040	200.358
89.701	185.879	3	1	1	107.566	109.040	200.358
89.631	186.877	3	1	1	108.623	109.040	200.358
89.561	187.874	3	1	1	110.358	109.040	200.358
89.465	188.869	3	1	1	109.783	109.040	200.358
89.181	189.828	3	1	1	115.873	109.040	200.358
88.898	190.787	3	1	1	113.977	109.040	200.358
88.615	191.746	3	1	1	111.440	109.040	200.358
88.331	192.706	3	1	1	107.312	109.040	200.358
88.048	193.665	3	1	1	105.841	109.040	200.358
87.765	194.624	3	1	1	108.524	109.040	200.358
87.481	195.583	3	1	1	107.482	109.040	200.358
87.198	196.542	3	1	1	110.169	109.040	200.358
86.915	197.501	3	1	1	109.993	109.040	200.358
86.631	198.460	3	1	1	108.367	109.040	200.358
86.348	199.419	3	1	1	112.070	109.040	200.358
86.151	200.399	3	1	1	108.101	109.040	200.358
86.000	201.388	3	1	1	109.540	109.040	200.358
85.849	202.376	3	1	1	113.687	109.040	200.358
85.699	203.365	3	1	1	111.723	109.040	200.358
85.548	204.353	3	1	1	106.957	109.040	200.358
85.397	205.342	3	1	1	108.231	109.040	200.358
85.246	206.330	3	1	1	107.634	109.040	200.358
85.095	207.319	3	1	1	109.181	109.040	200.358
84.945	208.308	3	1	1	112.807	109.040	200.358
84.794	209.296	3	1	1	113.341	109.040	200.358
84.643	210.285	3	1	1	109.063	109.040	200.358
84.492	211.273	3	1	1	111.458	109.040	200.358
84.341	212.262	3	1	1	112.883	109.040	200.358
84.191	213.250	3	1	1	111.433	109.040	200.358
84.040	214.239	3	1	1	109.708	109.040	200.358
84.070	215.238	3	1	1	110.450	109.040	200.358
84.165	216.234	3	1	1	107.814	109.040	200.358
84.260	217.229	3	1	1	107.946	109.040	200.358
84.355	218.225	3	1	1	107.751	109.040	200.358
84.450	219.220	3	1	1	107.752	109.040	200.358
84.544	220.216	3	1	1	108.391	109.040	200.358
84.639	221.211	3	1	1	107.380	109.040	200.358
84.734	222.207	3	1	1	105.893	109.040	200.358
84.829	223.202	3	1	1	108.932	109.040	200.358
84.924	224.198	3	1	1	106.215	109.040	200.358
85.031	225.192	3	1	1	107.190	109.040	200.358
85.192	226.179	3	1	1	101.179	109.040	200.358
85.353	227.166	3	1	1	101.533	109.040	200.358
85.513	228.153	3	1	1	109.034	109.040	200.358
85.674	229.140	3	1	1	106.140	109.040	200.358
85.835	230.127	3	1	1	105.821	109.040	200.358
85.995	231.114	3	1	1	102.328	109.040	200.358
86.156	232.101	3	1	1	107.826	109.040	200.358
86.317	233.088	3	1	1	107.042	109.040	200.358
86.477	234.075	3	1	1	114.470	109.040	200.358
86.638	235.062	3	1	1	109.640	109.040	200.358
86.890	236.030	3	1	1	102.915	109.040	200.358
87.337	236.924	3	1	1	109.018	109.040	200.358
87.784	237.819	3	1	1	105.496	109.040	200.358
88.232	238.713	3	1	1	106.095	109.040	200.358
88.679	239.608	3	1	1	105.039	109.040	200.358
89.126	240.502	3	1	1	102.331	109.040	200.358
89.573	241.397	3	1	1	108.623	109.040	200.358
90.020	242.291	3	1	1	107.550	109.040	200.358
90.468	243.185	3	1	1	104.498	109.040	200.358
90.915	244.080	3	1	1	107.200	109.040	200.358
91.362	244.974	3	1	1	108.741	109.040	200.358
91.809	245.869	3	1	1	106.898	109.040	200.358
92.256	246.764	3	1	1	103.349	109.040	200.358
92.635	247.689	3	1	1	107.118	109.040	200.358
93.015	248.614	3	1	1	106.948	109.040	200.358
93.395	249.539	3	1	1	106.928	109.040	200.358
93.775	250.464	3	1	1	108.032	109.040	200.358
94.155	251.389	3	1	1	107.591	109.040	200.358
94.535	252.314	3	1	1	103.988	109.040	200.358
94.915	253.239	3	1	1	109.636	109.040	200.358
95.295	254.164	3	1	1	112.930	109.040	200.358
95.675	255.089	3	1	1	107.596	109.040	200.358
96.055	256.014	3	1	1	108.219	109.040	200.358
96.435	256.939	3	1	1	107.089	109.040	200.358
96.815	257.864	3	1	1	110.261	109.040	200.358
97.195	258.789	3	1	1	109.357	109.040	200.358
97.574	259.714	3	1	1	108.945	109.040	200.358
97.954	260.639	3	1	1	108.987	109.040	200.358
98.489	261.484	3	1	1	108.418	109.040	200.358
99.044	262.316	3	1	1	105.191	109.040	200.358
99.599	263.148	3	1	1	108.327	109.040	200.358
100.153	263.980	3	1	1	107.548	109.040	200.358
100.708	264.812	3	1	1	109.350	109.040	200.358
101.263	265.644	3	1	1	108.214	109.040	200.358
101.817	266.476	3	1	1	108.865	109.040	200.358
102.372	267.308	3	1	1	107.794	109.040	200.358
102.927	268.140	3	1	1	108.963	109.040	200.358
103.481	268.972	3	1	1	111.141	109.040	200.358
104.036	269.804	3	1	1	108.392	109.040	200.358
104.591	270.636	3	1	1	105.717	109.040	200.358
105.149	271.466	3	1	1	108.253	109.040	200.358
105.717	272.289	3	1	1	108.939	109.040	200.358
106.286	273.112	3	1	1	108.125	109.040	200.358
106.854	273.935	3	1	1	110.797	109.040	200.358
107.422	274.758	3	1	1	107.949	109.040	200.358
107.990	275.581	3	1	1	110.888	109.040	200.358
108.558	276.403	3	1	1	108.631	109.040	200.358
109.126	277.226	3	1	1	105.994	109.040	200.358
109.695	278.049	3	1	1	108.714	109.040	200.358
110.263	278.872	3	1	1	103.947	109.040	200.358
110.831	279.695	3	1	1	106.957	109.040	200.358
111.399	280.518	3	1	1	109.208	109.040	200.358
111.967	281.341	3	1	1	108.069	109.040	200.358
112.647	282.075	3	1	1	111.163	109.040	200.358
113.421	282.708	3	1	1	111.399	109.040	200.358
114.195	283.341	3	1	1	110.955	109.040	200.358
114.969	283.974	3	1	1	106.294	109.040	200.358
115.743	284.608	3	1	1	110.330	109.040	200.358
116.517	285.241	3	1	1	110.206	109.040	200.358
117.291	285.874	3	1	1	110.846	109.040	200.358
118.064	286.507	3	1	1	112.977	109.040	200.358
118.838	287.141	3	1	1	116.351	109.040	200.358
119.612	287.774	3	1	1	111.373	109.040	200.358
120.386	288.407	3	1	1	109.516	109.040	200.358
121.160	289.040	3	1	1	107.266	109.040	200.358
121.934	289.673	3	1	1	111.973	109.040	200.358
122.708	290.307	3	1	1	112.678	109.040	200.358
123.502	290.915	3	1	1	112.389	109.040	200.358
124.338	291.463	3	1	1	111.091	109.040	200.358
125.175	292.011	3	1	1	114.419	109.040	200.358
126.011	292.559	3	1	1	111.157	109.040	200.358
126.848	293.107	3	1	1	102.563	109.040	200.358
127.684	293.655	3	1	1	109.499	109.040	200.358
128.521	294.203	3	1	1	108.838	109.040	200.358
129.357	294.751	3	1	1	110.413	109.040	200.358
130.194	295.299	3	1	1	110.352	109.040	200.358
131.030	295.847	3	1	1	110.253	109.040	200.358
131.867	296.395	3	1	1	109.178	109.040	200.358
132.703	296.943	3	1	1	111.376	109.040	200.358
133.539	297.491	3	1	1	113.608	109.040	200.358
134.376	298.039	3	1	1	113.275	109.040	200.358
135.212	298.587	3	1	1	116.178	109.040	200.358
136.049	299.135	3	1	1	112.950	109.040	200.358
136.885	299.683	3	1	1	110.594	109.040	200.358
137.722	300.231	3	1	1	111.110	109.040	200.358
138.627	300.656	3	1	1	108.782	109.040	200.358
139.535	301.076	3	1	1	105.994	109.040	200.358
140.442	301.496	3	1	1	109.526	109.040	200.358
141.350	301.916	3	1	1	110.187	109.040	200.358
142.257	302.337	3	1	1	113.206	109.040	200.358
143.164	302.757	3	1	1	115.041	109.040	200.358
144.072	303.177	3	1	1	110.153	109.040	200.358
144.979	303.597	3	1	1	115.002	109.040	200.358
145.887	304.017	3	1	1	114.425	109.040	200.358
146.794	304.437	3	1	1	111.571	109.040	200.358
147.702	304.857	3	1	1	115.272	109.040	200.358
148.609	305.277	3	1	1	109.200	109.040	200.358
149.517	305.698	3	1	1	111.433	109.040	200.358
150.424	306.118	3	1	1	114.759	109.040	200.358
151.336	306.527	3	1	1	114.511	109.040	200.358
152.290	306.828	3	1	1	115.968	109.040	200.358
153.244	307.128	3	1	1	114.962	109.040	200.358
154.198	307.428	3	1	1	117.531	109.040	200.358
155.152	307.728	3	1	1	114.498	109.040	200.358
156.106	308.029	3	1	1	112.248	109.040	200.358
157.060	308.329	3	1	1	117.177	109.040	200.358
158.013	308.629	3	1	1	115.047	109.040	200.358
158.967	308.930	3	1	1	121.432	109.040	200.358
159.921	309.230	3	1	1	119.289	109.040	200.358
160.875	309.530	3	1	1	118.376	109.040	200.358
161.829	309.830	3	1	1	116.945	109.040	200.358
162.783	310.131	3	1	1	115.402	109.040	200.358
163.737	310.431	3	1	1	116.505	109.040	200.358
164.690	310.731	3	1	1	115.743	109.040	200.358
165.625	311.088	3	1	1	116.372	109.040	200.358
166.557	311.448	3	1	1	118.084	109.040	200.358
167.490	311.809	3	1	1	116.419	109.040	200.358
168.423	312.169	3	1	1	112.238	109.040	200.358
169.356	312.530	3	1	1	117.663	109.040	200.358
170.289	312.890	3	1	1	122.447	109.040	200.358
171.221	313.250	3	1	1	118.109	109.040	200.358
172.154	313.611	3	1	1	118.086	109.040	200.358
173.087	313.971	3	1	1	114.850	109.040	200.358
174.020	314.332	3	1	1	118.041	109.040	200.358
174.953	314.692	3	1	1	112.665	109.040	200.358
175.879	315.067	3	1	1	113.351	109.040	200.358
176.766	315.529	3	1	1	119.428	109.040	200.358
177.653	315.992	3	1	1	118.973	109.040	200.358
178.540	316.454	3	1	1	120.529	109.040	200.358
179.427	316.916	3	1	1	114.843	109.040	200.358
180.314	317.378	3	1	1	119.017	109.040	200.358
181.201	317.840	3	1	1	118.426	109.040	200.358
182.087	318.302	3	1	1	118.730	109.040	200.358
182.974	318.764	3	1	1	118.238	109.040	200.358
183.861	319.226	3	1	1	119.334	109.040	200.358
184.748	319.688	3	1	1	120.387	109.040	200.358
185.635	320.150	3	1	1	119.365	109.040	200.358
186.621	320.314	3	1	1	124.703	109.040	200.358
187.609	320.467	3	1	1	124.074	109.040	200.358
188.598	320.620	3	1	1	124.592	109.040	200.358
189.586	320.773	3	1	1	119.810	109.040	200.358
190.574	320.926	3	1	1	116.462	109.040	200.358
191.562	321.079	3	1	1	122.750	109.040	200.358
192.551	321.232	3	1	1	125.240	109.040	200.358
193.539	321.385	3	1	1	120.656	109.040	200.358
194.527	321.538	3	1	1	119.561	109.040	200.358
195.515	321.691	3	1	1	120.105	109.040	200.358
196.504	321.844	3	1	1	115.642	109.040	200.358
197.492	321.997	3	1	1	120.307	109.040	200.358
198.480	322.150	3	1	1	122.296	109.040	200.358
199.468	322.303	3	1	1	118.117	109.040	200.358
200.468	322.284	3	1	1	118.718	109.040	200.358
201.466	322.223	3	1	1	123.477	109.040	200.358
202.464	322.162	3	1	1	121.642	109.040	200.358
203.462	322.100	3	1	1	121.842	109.040	200.358
204.461	322.039	3	1	1	122.696	109.040	200.358
205.459	321.978	3	1	1	122.414	109.040	200.358
206.457	321.917	3	1	1	126.352	109.040	200.358
207.455	321.856	3	1	1	123.425	109.040	200.358
208.453	321.794	3	1	1	122.296	109.040	200.358
209.451	321.733	3	1	1	126.289	109.040	200.358
210.449	321.672	3	1	1	123.020	109.040	200.358
211.447	321.611	3	1	1	123.286	109.040	200.358
212.446	321.549	3	1	1	122.568	109.040	200.358
213.440	321.444	3	1	1	120.626	109.040	200.358
214.398	321.159	3	1	1	121.871	109.040	200.358
215.357	320.874	3	1	1	120.967	109.040	200.358
216.316	320.589	3	1	1	123.952	109.040	200.358
217.274	320.304	3	1	1	122.558	109.040	200.358
218.233	320.019	3	1	1	127.106	109.040	200.358
219.191	319.734	3	1	1	124.927	109.040	200.358
220.150	319.449	3	1	1	124.999	109.040	200.358
221.108	319.164	3	1	1	123.090	109.040	200.358
222.067	318.879	3	1	1	130.001	109.040	200.358
222.995	318.507	3	1	1	124.445	109.040	200.358
223.892	318.065	3	1	1	124.086	109.040	200.358
224.789	317.623	3	1	1	124.537	109.040	200.358
225.687	317.182	3	1	1	122.127	109.040	200.358
226.584	316.740	3	1	1	119.775	109.040	200.358
227.481	316.299	3	1	1	121.901	109.040	200.358
228.378	315.857	3	1	1	128.465	109.040	200.358
229.276	315.416	3	1	1	122.614	109.040	200.358
230.173	314.974	3	1	1	122.657	109.040	200.358
231.070	314.533	3	1	1	122.767	109.040	200.358
231.967	314.091	3	1	1	125.286	109.040	200.358
232.865	313.650	3	1	1	126.551	109.040	200.358
233.762	313.208	3	1	1	123.346	109.040	200.358
234.659	312.767	3	1	1	124.659	109.040	200.358
235.556	312.325	3	1	1	131.612	109.040	200.358
236.454	311.884	3	1	1	121.119	109.040	200.358
237.351	311.442	3	1	1	121.855	109.040	200.358
238.248	311.001	3	1	1	125.559	109.040	200.358
239.136	310.541	3	1	1	127.382	109.040	200.358
240.024	310.081	3	1	1	122.866	109.040	200.358
240.912	309.621	3	1	1	123.055	109.040	200.358
241.800	309.161	3	1	1	127.386	109.040	200.358
242.688	308.702	3	1	1	125.134	109.040	200.358
243.576	308.242	3	1	1	123.331	109.040	200.358
244.464	307.782	3	1	1	130.764	109.040	200.358
245.352	307.322	3	1	1	127.929	109.040	200.358
246.240	306.862	3	1	1	128.676	109.040	200.358
247.128	306.402	3	1	1	132.194	109.040	200.358
248.016	305.943	3	1	1	127.754	109.040	200.358
248.904	305.483	3	1	1	123.153	109.040	200.358
249.792	305.023	3	1	1	132.663	109.040	200.358
250.680	304.563	3	1	1	127.938	109.040	200.358
251.568	304.103	3	1	1	131.733	109.040	200.358
252.458	303.646	3	1	1	131.596	109.040	200.358
253.352	303.199	3	1	1	126.780	109.040	200.358
254.247	302.752	3	1	1	125.258	109.040	200.358
255.141	302.305	3	1	1	130.322	109.040	200.358
256.035	301.857	3	1	1	132.714	109.040	200.358
256.930	301.410	3	1	1	135.388	109.040	200.358
257.824	300.963	3	1	1	129.264	109.040	200.358
258.722	300.523	3	1	1	135.001	109.040	200.358
259.623	300.089	3	1	1	129.264	109.040	200.358
260.524	299.655	3	1	1	133.204	109.040	200.358
261.425	299.221	3	1	1	126.871	109.040	200.358
262.326	298.787	3	1	1	133.426	109.040	200.358
