X	Y	C	Z	T	Intensity	BG	MX
113.833	118.167	1	1	1	421.796	140.724	218.423
113.141	118.888	1	1	1	450.789	140.724	218.423
112.448	119.609	1	1	1	450.594	140.724	218.423
111.755	120.330	1	1	1	433.208	140.724	218.423
111.062	121.051	1	1	1	405.821	140.724	218.423
110.370	121.773	1	1	1	420.250	140.724	218.423
109.677	122.494	1	1	1	448.328	140.724	218.423
108.984	123.215	1	1	1	446.346	140.724	218.423
108.292	123.936	1	1	1	436.054	140.724	218.423
107.629	124.685	1	1	1	435.953	140.724	218.423
107.081	125.522	1	1	1	430.846	140.724	218.423
106.533	126.358	1	1	1	447.232	140.724	218.423
105.985	127.194	1	1	1	427.311	140.724	218.423
105.437	128.031	1	1	1	437.205	140.724	218.423
104.889	128.867	1	1	1	448.091	140.724	218.423
104.341	129.704	1	1	1	435.935	140.724	218.423
103.793	130.540	1	1	1	442.601	140.724	218.423
103.245	131.377	1	1	1	447.949	140.724	218.423
102.745	132.243	1	1	1	415.199	140.724	218.423
102.285	133.131	1	1	1	432.562	140.724	218.423
101.825	134.019	1	1	1	416.615	140.724	218.423
101.365	134.907	1	1	1	436.931	140.724	218.423
100.905	135.795	1	1	1	427.373	140.724	218.423
100.445	136.683	1	1	1	445.151	140.724	218.423
99.986	137.571	1	1	1	427.700	140.724	218.423
99.526	138.459	1	1	1	426.558	140.724	218.423
99.097	139.362	1	1	1	445.509	140.724	218.423
98.683	140.273	1	1	1	447.977	140.724	218.423
98.269	141.183	1	1	1	419.771	140.724	218.423
97.855	142.093	1	1	1	446.993	140.724	218.423
97.442	143.004	1	1	1	435.937	140.724	218.423
97.028	143.914	1	1	1	440.802	140.724	218.423
96.614	144.824	1	1	1	422.270	140.724	218.423
96.200	145.735	1	1	1	427.606	140.724	218.423
95.786	146.645	1	1	1	409.968	140.724	218.423
95.373	147.555	1	1	1	407.259	140.724	218.423
94.988	148.479	1	1	1	402.191	140.724	218.423
94.878	149.473	1	1	1	409.378	140.724	218.423
94.767	150.466	1	1	1	425.960	140.724	218.423
94.656	151.460	1	1	1	425.007	140.724	218.423
94.545	152.454	1	1	1	421.207	140.724	218.423
94.435	153.448	1	1	1	423.308	140.724	218.423
94.324	154.442	1	1	1	433.688	140.724	218.423
94.213	155.436	1	1	1	436.123	140.724	218.423
94.102	156.430	1	1	1	459.300	140.724	218.423
93.992	157.423	1	1	1	478.529	140.724	218.423
93.881	158.417	1	1	1	472.653	140.724	218.423
93.770	159.411	1	1	1	441.960	140.724	218.423
93.659	160.405	1	1	1	441.220	140.724	218.423
93.548	161.399	1	1	1	439.594	140.724	218.423
93.344	162.378	1	1	1	433.831	140.724	218.423
93.070	163.339	1	1	1	436.290	140.724	218.423
92.795	164.301	1	1	1	434.836	140.724	218.423
92.520	165.262	1	1	1	445.604	140.724	218.423
92.246	166.224	1	1	1	426.728	140.724	218.423
91.971	167.185	1	1	1	410.378	140.724	218.423
91.696	168.147	1	1	1	396.281	140.724	218.423
91.421	169.108	1	1	1	388.790	140.724	218.423
91.147	170.070	1	1	1	400.218	140.724	218.423
90.872	171.031	1	1	1	363.077	140.724	218.423
90.597	171.993	1	1	1	377.082	140.724	218.423
90.323	172.955	1	1	1	376.138	140.724	218.423
90.102	173.930	1	1	1	392.071	140.724	218.423
89.954	174.919	1	1	1	400.233	140.724	218.423
89.806	175.908	1	1	1	414.264	140.724	218.423
89.657	176.897	1	1	1	410.372	140.724	218.423
89.509	177.886	1	1	1	393.651	140.724	218.423
89.360	178.875	1	1	1	415.576	140.724	218.423
89.212	179.864	1	1	1	374.072	140.724	218.423
89.064	180.852	1	1	1	385.820	140.724	218.423
88.915	181.841	1	1	1	415.143	140.724	218.423
88.767	182.830	1	1	1	409.895	140.724	218.423
88.619	183.819	1	1	1	403.448	140.724	218.423
88.470	184.808	1	1	1	430.045	140.724	218.423
88.322	185.797	1	1	1	447.596	140.724	218.423
88.174	186.786	1	1	1	454.210	140.724	218.423
88.167	187.786	1	1	1	484.027	140.724	218.423
88.167	188.786	1	1	1	489.077	140.724	218.423
88.167	189.786	1	1	1	503.773	140.724	218.423
88.167	190.786	1	1	1	508.251	140.724	218.423
88.167	191.786	1	1	1	502.384	140.724	218.423
88.167	192.786	1	1	1	490.235	140.724	218.423
88.167	193.786	1	1	1	499.376	140.724	218.423
88.167	194.786	1	1	1	456.887	140.724	218.423
88.167	195.786	1	1	1	428.409	140.724	218.423
88.167	196.786	1	1	1	411.846	140.724	218.423
88.167	197.786	1	1	1	398.139	140.724	218.423
88.167	198.786	1	1	1	384.872	140.724	218.423
88.167	199.786	1	1	1	368.267	140.724	218.423
88.167	200.786	1	1	1	386.620	140.724	218.423
88.167	201.786	1	1	1	378.414	140.724	218.423
88.167	202.786	1	1	1	384.025	140.724	218.423
88.167	203.786	1	1	1	377.053	140.724	218.423
88.167	204.786	1	1	1	382.251	140.724	218.423
88.167	205.786	1	1	1	395.939	140.724	218.423
88.177	206.786	1	1	1	426.365	140.724	218.423
88.213	207.785	1	1	1	423.167	140.724	218.423
88.248	208.785	1	1	1	422.404	140.724	218.423
88.284	209.784	1	1	1	432.361	140.724	218.423
88.320	210.783	1	1	1	421.583	140.724	218.423
88.355	211.783	1	1	1	419.291	140.724	218.423
88.391	212.782	1	1	1	421.360	140.724	218.423
88.427	213.782	1	1	1	394.141	140.724	218.423
88.462	214.781	1	1	1	388.503	140.724	218.423
88.498	215.780	1	1	1	387.450	140.724	218.423
88.534	216.780	1	1	1	406.949	140.724	218.423
88.569	217.779	1	1	1	391.299	140.724	218.423
88.605	218.778	1	1	1	387.351	140.724	218.423
88.641	219.778	1	1	1	401.453	140.724	218.423
88.677	220.777	1	1	1	381.814	140.724	218.423
88.712	221.776	1	1	1	389.998	140.724	218.423
88.748	222.776	1	1	1	407.552	140.724	218.423
88.784	223.775	1	1	1	437.403	140.724	218.423
88.819	224.775	1	1	1	434.934	140.724	218.423
88.892	225.772	1	1	1	421.319	140.724	218.423
88.987	226.767	1	1	1	449.686	140.724	218.423
89.083	227.763	1	1	1	450.605	140.724	218.423
89.179	228.758	1	1	1	458.218	140.724	218.423
89.274	229.754	1	1	1	460.782	140.724	218.423
89.370	230.749	1	1	1	478.884	140.724	218.423
89.466	231.744	1	1	1	460.712	140.724	218.423
89.562	232.740	1	1	1	441.036	140.724	218.423
89.657	233.735	1	1	1	429.526	140.724	218.423
89.753	234.731	1	1	1	425.234	140.724	218.423
89.849	235.726	1	1	1	431.263	140.724	218.423
89.944	236.721	1	1	1	421.880	140.724	218.423
90.040	237.717	1	1	1	410.449	140.724	218.423
90.136	238.712	1	1	1	407.001	140.724	218.423
90.232	239.708	1	1	1	404.885	140.724	218.423
90.327	240.703	1	1	1	411.136	140.724	218.423
90.423	241.698	1	1	1	431.100	140.724	218.423
90.583	242.686	1	1	1	419.987	140.724	218.423
90.989	243.599	1	1	1	405.092	140.724	218.423
91.395	244.513	1	1	1	423.096	140.724	218.423
91.801	245.427	1	1	1	435.239	140.724	218.423
92.207	246.341	1	1	1	430.679	140.724	218.423
92.613	247.255	1	1	1	437.758	140.724	218.423
93.019	248.169	1	1	1	430.450	140.724	218.423
93.425	249.082	1	1	1	409.017	140.724	218.423
93.832	249.996	1	1	1	424.876	140.724	218.423
94.238	250.910	1	1	1	450.890	140.724	218.423
94.644	251.824	1	1	1	459.447	140.724	218.423
95.050	252.738	1	1	1	458.254	140.724	218.423
95.456	253.651	1	1	1	479.225	140.724	218.423
95.853	254.569	1	1	1	497.638	140.724	218.423
96.128	255.531	1	1	1	490.258	140.724	218.423
96.403	256.492	1	1	1	463.051	140.724	218.423
96.677	257.454	1	1	1	470.064	140.724	218.423
96.952	258.415	1	1	1	471.226	140.724	218.423
97.227	259.377	1	1	1	468.977	140.724	218.423
97.501	260.338	1	1	1	482.166	140.724	218.423
97.776	261.300	1	1	1	487.636	140.724	218.423
98.051	262.261	1	1	1	518.300	140.724	218.423
98.326	263.223	1	1	1	517.290	140.724	218.423
98.600	264.185	1	1	1	502.212	140.724	218.423
98.875	265.146	1	1	1	525.014	140.724	218.423
99.150	266.108	1	1	1	547.434	140.724	218.423
99.424	267.069	1	1	1	551.332	140.724	218.423
99.699	268.031	1	1	1	559.479	140.724	218.423
100.052	268.966	1	1	1	601.704	140.724	218.423
100.476	269.872	1	1	1	620.195	140.724	218.423
100.900	270.778	1	1	1	598.572	140.724	218.423
101.323	271.684	1	1	1	617.862	140.724	218.423
101.747	272.589	1	1	1	639.360	140.724	218.423
102.171	273.495	1	1	1	654.939	140.724	218.423
102.595	274.401	1	1	1	672.320	140.724	218.423
103.019	275.306	1	1	1	654.090	140.724	218.423
103.443	276.212	1	1	1	635.556	140.724	218.423
103.867	277.118	1	1	1	649.557	140.724	218.423
104.291	278.023	1	1	1	656.085	140.724	218.423
104.715	278.929	1	1	1	682.335	140.724	218.423
105.139	279.835	1	1	1	674.756	140.724	218.423
105.563	280.740	1	1	1	679.086	140.724	218.423
105.987	281.646	1	1	1	709.044	140.724	218.423
106.411	282.552	1	1	1	704.056	140.724	218.423
106.835	283.457	1	1	1	748.207	140.724	218.423
107.333	284.325	1	1	1	814.236	140.724	218.423
108.058	285.013	1	1	1	794.750	140.724	218.423
108.783	285.702	1	1	1	783.168	140.724	218.423
109.508	286.391	1	1	1	770.209	140.724	218.423
110.233	287.080	1	1	1	762.969	140.724	218.423
110.958	287.768	1	1	1	707.616	140.724	218.423
111.683	288.457	1	1	1	672.831	140.724	218.423
112.408	289.146	1	1	1	661.999	140.724	218.423
113.133	289.835	1	1	1	606.306	140.724	218.423
113.852	290.529	1	1	1	598.183	140.724	218.423
114.394	291.370	1	1	1	580.934	140.724	218.423
114.936	292.210	1	1	1	567.472	140.724	218.423
115.479	293.050	1	1	1	578.727	140.724	218.423
116.021	293.890	1	1	1	564.065	140.724	218.423
116.563	294.731	1	1	1	564.833	140.724	218.423
117.105	295.571	1	1	1	571.336	140.724	218.423
117.647	296.411	1	1	1	588.747	140.724	218.423
118.189	297.252	1	1	1	614.926	140.724	218.423
118.731	298.092	1	1	1	620.729	140.724	218.423
119.273	298.932	1	1	1	651.360	140.724	218.423
119.816	299.772	1	1	1	680.051	140.724	218.423
120.358	300.613	1	1	1	679.698	140.724	218.423
121.124	301.255	1	1	1	682.781	140.724	218.423
121.953	301.814	1	1	1	646.014	140.724	218.423
122.782	302.374	1	1	1	611.579	140.724	218.423
123.611	302.933	1	1	1	581.767	140.724	218.423
124.440	303.493	1	1	1	570.999	140.724	218.423
125.269	304.052	1	1	1	557.198	140.724	218.423
126.098	304.612	1	1	1	547.688	140.724	218.423
126.926	305.171	1	1	1	546.133	140.724	218.423
127.755	305.731	1	1	1	526.588	140.724	218.423
128.584	306.290	1	1	1	547.920	140.724	218.423
129.413	306.850	1	1	1	568.430	140.724	218.423
130.242	307.409	1	1	1	568.406	140.724	218.423
131.071	307.968	1	1	1	640.669	140.724	218.423
131.899	308.528	1	1	1	654.988	140.724	218.423
132.728	309.087	1	1	1	677.882	140.724	218.423
133.557	309.647	1	1	1	665.002	140.724	218.423
