X	Y	C	Z	T	Intensity	BG	MX
83.000	127.167	3	1	1	160.766	127.292	960.012
82.410	127.974	3	1	1	159.170	127.292	960.012
81.820	128.781	3	1	1	163.730	127.292	960.012
81.230	129.589	3	1	1	157.407	127.292	960.012
80.640	130.396	3	1	1	166.009	127.292	960.012
80.050	131.204	3	1	1	164.601	127.292	960.012
79.460	132.011	3	1	1	164.873	127.292	960.012
78.870	132.818	3	1	1	163.059	127.292	960.012
78.280	133.626	3	1	1	162.194	127.292	960.012
77.690	134.433	3	1	1	157.303	127.292	960.012
77.100	135.241	3	1	1	156.621	127.292	960.012
76.493	136.036	3	1	1	155.020	127.292	960.012
75.842	136.795	3	1	1	164.799	127.292	960.012
75.192	137.554	3	1	1	158.787	127.292	960.012
74.541	138.313	3	1	1	160.387	127.292	960.012
73.890	139.073	3	1	1	165.626	127.292	960.012
73.239	139.832	3	1	1	156.958	127.292	960.012
72.589	140.591	3	1	1	159.108	127.292	960.012
71.938	141.350	3	1	1	159.200	127.292	960.012
71.309	142.128	3	1	1	157.387	127.292	960.012
70.697	142.919	3	1	1	160.034	127.292	960.012
70.085	143.710	3	1	1	150.822	127.292	960.012
69.473	144.500	3	1	1	160.163	127.292	960.012
68.861	145.291	3	1	1	168.578	127.292	960.012
68.248	146.082	3	1	1	159.756	127.292	960.012
67.655	146.887	3	1	1	152.750	127.292	960.012
67.434	147.862	3	1	1	157.628	127.292	960.012
67.214	148.837	3	1	1	158.968	127.292	960.012
66.994	149.813	3	1	1	159.691	127.292	960.012
66.774	150.788	3	1	1	156.682	127.292	960.012
66.553	151.764	3	1	1	160.417	127.292	960.012
66.333	152.739	3	1	1	160.598	127.292	960.012
66.113	153.715	3	1	1	156.742	127.292	960.012
65.893	154.690	3	1	1	158.115	127.292	960.012
65.672	155.665	3	1	1	165.535	127.292	960.012
65.452	156.641	3	1	1	166.303	127.292	960.012
65.176	157.602	3	1	1	165.557	127.292	960.012
64.836	158.542	3	1	1	152.414	127.292	960.012
