X	Y	C	Z	T	Intensity	BG	MX
91.833	151.500	3	1	1	129.316	106.078	629.649
91.357	152.379	3	1	1	122.479	106.078	629.649
90.881	153.259	3	1	1	132.244	106.078	629.649
90.404	154.138	3	1	1	128.621	106.078	629.649
89.928	155.017	3	1	1	126.046	106.078	629.649
89.452	155.896	3	1	1	126.378	106.078	629.649
88.976	156.776	3	1	1	123.973	106.078	629.649
88.499	157.655	3	1	1	128.219	106.078	629.649
88.023	158.534	3	1	1	125.921	106.078	629.649
87.547	159.414	3	1	1	121.837	106.078	629.649
87.114	160.315	3	1	1	132.550	106.078	629.649
86.686	161.219	3	1	1	124.616	106.078	629.649
86.258	162.123	3	1	1	127.593	106.078	629.649
85.830	163.026	3	1	1	123.170	106.078	629.649
85.402	163.930	3	1	1	125.945	106.078	629.649
84.973	164.834	3	1	1	127.509	106.078	629.649
84.545	165.738	3	1	1	127.624	106.078	629.649
84.117	166.641	3	1	1	125.520	106.078	629.649
83.689	167.545	3	1	1	128.643	106.078	629.649
83.261	168.449	3	1	1	127.315	106.078	629.649
82.833	169.352	3	1	1	131.128	106.078	629.649
82.405	170.256	3	1	1	123.609	106.078	629.649
81.977	171.160	3	1	1	127.928	106.078	629.649
81.549	172.064	3	1	1	119.130	106.078	629.649
81.381	173.050	3	1	1	120.043	106.078	629.649
81.248	174.041	3	1	1	119.280	106.078	629.649
81.114	175.032	3	1	1	122.730	106.078	629.649
80.981	176.023	3	1	1	121.384	106.078	629.649
80.848	177.014	3	1	1	124.668	106.078	629.649
80.714	178.005	3	1	1	123.390	106.078	629.649
80.581	178.996	3	1	1	121.618	106.078	629.649
80.447	179.987	3	1	1	123.625	106.078	629.649
80.314	180.978	3	1	1	126.458	106.078	629.649
80.180	181.969	3	1	1	124.487	106.078	629.649
80.047	182.960	3	1	1	127.258	106.078	629.649
79.914	183.951	3	1	1	121.103	106.078	629.649
79.780	184.942	3	1	1	122.511	106.078	629.649
79.647	185.933	3	1	1	124.375	106.078	629.649
79.513	186.924	3	1	1	127.707	106.078	629.649
79.380	187.915	3	1	1	118.441	106.078	629.649
79.247	188.906	3	1	1	118.810	106.078	629.649
79.118	189.898	3	1	1	128.443	106.078	629.649
78.998	190.891	3	1	1	123.316	106.078	629.649
78.877	191.884	3	1	1	123.389	106.078	629.649
78.756	192.876	3	1	1	128.786	106.078	629.649
78.635	193.869	3	1	1	124.200	106.078	629.649
78.515	194.862	3	1	1	121.860	106.078	629.649
78.394	195.854	3	1	1	124.356	106.078	629.649
78.273	196.847	3	1	1	130.049	106.078	629.649
78.152	197.840	3	1	1	125.103	106.078	629.649
78.032	198.832	3	1	1	128.365	106.078	629.649
77.911	199.825	3	1	1	122.239	106.078	629.649
77.790	200.818	3	1	1	121.865	106.078	629.649
77.669	201.810	3	1	1	121.236	106.078	629.649
