X	Y	C	Z	T	Intensity	BG	MX
82.833	114.500	3	1	1	156.435	106.419	399.194
82.219	115.289	3	1	1	156.163	106.419	399.194
81.605	116.079	3	1	1	154.083	106.419	399.194
80.992	116.868	3	1	1	155.753	106.419	399.194
80.378	117.657	3	1	1	157.948	106.419	399.194
79.764	118.447	3	1	1	162.526	106.419	399.194
79.150	119.236	3	1	1	168.489	106.419	399.194
78.536	120.025	3	1	1	153.486	106.419	399.194
77.922	120.815	3	1	1	156.054	106.419	399.194
77.308	121.604	3	1	1	145.999	106.419	399.194
76.694	122.394	3	1	1	153.344	106.419	399.194
76.080	123.183	3	1	1	156.169	106.419	399.194
75.466	123.972	3	1	1	148.050	106.419	399.194
74.852	124.762	3	1	1	153.445	106.419	399.194
74.238	125.551	3	1	1	154.737	106.419	399.194
73.624	126.340	3	1	1	145.384	106.419	399.194
73.120	127.204	3	1	1	143.822	106.419	399.194
72.644	128.083	3	1	1	140.661	106.419	399.194
72.169	128.963	3	1	1	145.431	106.419	399.194
71.693	129.843	3	1	1	141.986	106.419	399.194
71.218	130.722	3	1	1	142.285	106.419	399.194
70.742	131.602	3	1	1	143.243	106.419	399.194
70.267	132.482	3	1	1	144.672	106.419	399.194
69.791	133.362	3	1	1	148.947	106.419	399.194
69.316	134.241	3	1	1	139.542	106.419	399.194
68.840	135.121	3	1	1	140.916	106.419	399.194
68.364	136.001	3	1	1	143.796	106.419	399.194
67.889	136.880	3	1	1	142.578	106.419	399.194
67.413	137.760	3	1	1	142.144	106.419	399.194
66.938	138.640	3	1	1	140.812	106.419	399.194
66.420	139.495	3	1	1	138.356	106.419	399.194
65.890	140.343	3	1	1	138.300	106.419	399.194
65.360	141.191	3	1	1	138.909	106.419	399.194
64.830	142.039	3	1	1	143.094	106.419	399.194
64.300	142.887	3	1	1	133.055	106.419	399.194
63.770	143.735	3	1	1	133.942	106.419	399.194
63.240	144.583	3	1	1	138.254	106.419	399.194
62.710	145.431	3	1	1	133.287	106.419	399.194
62.180	146.279	3	1	1	131.906	106.419	399.194
61.650	147.127	3	1	1	130.361	106.419	399.194
61.120	147.975	3	1	1	128.263	106.419	399.194
60.590	148.823	3	1	1	129.088	106.419	399.194
60.120	149.706	3	1	1	132.018	106.419	399.194
59.897	150.680	3	1	1	132.912	106.419	399.194
59.674	151.655	3	1	1	130.483	106.419	399.194
59.451	152.630	3	1	1	126.621	106.419	399.194
59.228	153.605	3	1	1	127.799	106.419	399.194
59.005	154.580	3	1	1	128.717	106.419	399.194
58.782	155.555	3	1	1	125.534	106.419	399.194
58.559	156.529	3	1	1	125.235	106.419	399.194
58.336	157.504	3	1	1	126.564	106.419	399.194
58.113	158.479	3	1	1	121.940	106.419	399.194
57.890	159.454	3	1	1	118.823	106.419	399.194
57.667	160.429	3	1	1	121.031	106.419	399.194
57.444	161.404	3	1	1	125.832	106.419	399.194
57.271	162.389	3	1	1	121.613	106.419	399.194
57.422	163.377	3	1	1	119.723	106.419	399.194
57.572	164.366	3	1	1	121.047	106.419	399.194
57.723	165.354	3	1	1	117.689	106.419	399.194
57.873	166.343	3	1	1	117.262	106.419	399.194
58.024	167.331	3	1	1	121.779	106.419	399.194
58.175	168.320	3	1	1	119.684	106.419	399.194
58.325	169.309	3	1	1	118.202	106.419	399.194
58.476	170.297	3	1	1	120.726	106.419	399.194
58.626	171.286	3	1	1	120.621	106.419	399.194
58.777	172.274	3	1	1	114.041	106.419	399.194
58.927	173.263	3	1	1	117.882	106.419	399.194
59.078	174.252	3	1	1	117.751	106.419	399.194
59.323	175.221	3	1	1	117.204	106.419	399.194
59.698	176.148	3	1	1	121.514	106.419	399.194
60.073	177.075	3	1	1	122.066	106.419	399.194
60.448	178.002	3	1	1	115.187	106.419	399.194
60.823	178.930	3	1	1	121.366	106.419	399.194
61.197	179.857	3	1	1	121.116	106.419	399.194
61.572	180.784	3	1	1	117.658	106.419	399.194
61.947	181.711	3	1	1	116.320	106.419	399.194
62.322	182.638	3	1	1	120.765	106.419	399.194
62.697	183.565	3	1	1	120.646	106.419	399.194
63.071	184.492	3	1	1	114.155	106.419	399.194
63.446	185.419	3	1	1	113.316	106.419	399.194
63.821	186.346	3	1	1	114.963	106.419	399.194
64.196	187.274	3	1	1	115.241	106.419	399.194
64.570	188.201	3	1	1	113.904	106.419	399.194
64.945	189.128	3	1	1	114.616	106.419	399.194
65.320	190.055	3	1	1	114.943	106.419	399.194
65.669	190.992	3	1	1	115.378	106.419	399.194
65.993	191.938	3	1	1	116.842	106.419	399.194
66.317	192.884	3	1	1	119.860	106.419	399.194
66.642	193.830	3	1	1	115.953	106.419	399.194
66.966	194.776	3	1	1	116.176	106.419	399.194
67.290	195.722	3	1	1	120.643	106.419	399.194
67.615	196.668	3	1	1	114.593	106.419	399.194
67.939	197.614	3	1	1	112.734	106.419	399.194
68.263	198.560	3	1	1	116.369	106.419	399.194
68.588	199.506	3	1	1	119.405	106.419	399.194
68.912	200.452	3	1	1	118.324	106.419	399.194
69.236	201.398	3	1	1	113.521	106.419	399.194
69.551	202.347	3	1	1	110.749	106.419	399.194
69.826	203.308	3	1	1	113.265	106.419	399.194
70.101	204.270	3	1	1	114.704	106.419	399.194
70.376	205.231	3	1	1	120.158	106.419	399.194
70.650	206.193	3	1	1	120.222	106.419	399.194
70.925	207.154	3	1	1	115.041	106.419	399.194
71.200	208.116	3	1	1	120.330	106.419	399.194
71.474	209.077	3	1	1	116.905	106.419	399.194
71.793	210.025	3	1	1	113.264	106.419	399.194
72.115	210.972	3	1	1	119.902	106.419	399.194
72.438	211.918	3	1	1	111.349	106.419	399.194
72.761	212.865	3	1	1	110.498	106.419	399.194
73.083	213.811	3	1	1	113.349	106.419	399.194
73.406	214.758	3	1	1	110.038	106.419	399.194
73.729	215.704	3	1	1	108.480	106.419	399.194
74.051	216.651	3	1	1	110.476	106.419	399.194
74.374	217.597	3	1	1	112.782	106.419	399.194
74.697	218.544	3	1	1	111.867	106.419	399.194
75.019	219.490	3	1	1	111.125	106.419	399.194
75.342	220.437	3	1	1	113.113	106.419	399.194
75.665	221.383	3	1	1	107.765	106.419	399.194
75.987	222.330	3	1	1	112.802	106.419	399.194
76.310	223.276	3	1	1	111.219	106.419	399.194
76.638	224.221	3	1	1	114.664	106.419	399.194
76.972	225.164	3	1	1	112.676	106.419	399.194
77.306	226.106	3	1	1	108.743	106.419	399.194
77.641	227.049	3	1	1	112.266	106.419	399.194
77.975	227.991	3	1	1	115.854	106.419	399.194
78.310	228.933	3	1	1	113.045	106.419	399.194
