X	Y	C	Z	T	Intensity	BG	MX
108.750	133.250	2	1	1	441.483	105.087	164.166
108.175	134.068	2	1	1	394.394	105.087	164.166
107.599	134.886	2	1	1	334.080	105.087	164.166
107.024	135.703	2	1	1	266.873	105.087	164.166
106.448	136.521	2	1	1	252.644	105.087	164.166
105.873	137.339	2	1	1	248.354	105.087	164.166
105.297	138.157	2	1	1	222.552	105.087	164.166
104.722	138.975	2	1	1	228.088	105.087	164.166
104.146	139.792	2	1	1	233.430	105.087	164.166
103.634	140.651	2	1	1	240.387	105.087	164.166
103.143	141.523	2	1	1	276.348	105.087	164.166
102.653	142.394	2	1	1	296.980	105.087	164.166
102.163	143.266	2	1	1	333.694	105.087	164.166
101.673	144.138	2	1	1	395.027	105.087	164.166
101.182	145.009	2	1	1	481.537	105.087	164.166
100.692	145.881	2	1	1	600.749	105.087	164.166
100.202	146.752	2	1	1	661.728	105.087	164.166
99.712	147.624	2	1	1	662.632	105.087	164.166
99.182	148.472	2	1	1	579.682	105.087	164.166
98.622	149.301	2	1	1	467.005	105.087	164.166
98.063	150.129	2	1	1	392.135	105.087	164.166
97.503	150.958	2	1	1	344.107	105.087	164.166
96.944	151.787	2	1	1	310.200	105.087	164.166
96.384	152.616	2	1	1	268.030	105.087	164.166
95.825	153.445	2	1	1	264.824	105.087	164.166
95.265	154.274	2	1	1	273.095	105.087	164.166
94.706	155.103	2	1	1	264.473	105.087	164.166
94.146	155.931	2	1	1	316.508	105.087	164.166
93.587	156.760	2	1	1	356.397	105.087	164.166
93.027	157.589	2	1	1	414.113	105.087	164.166
92.488	158.431	2	1	1	459.283	105.087	164.166
91.969	159.286	2	1	1	470.254	105.087	164.166
91.450	160.141	2	1	1	455.766	105.087	164.166
90.931	160.996	2	1	1	448.777	105.087	164.166
90.412	161.850	2	1	1	416.109	105.087	164.166
89.893	162.705	2	1	1	372.407	105.087	164.166
89.374	163.560	2	1	1	300.770	105.087	164.166
88.855	164.415	2	1	1	265.001	105.087	164.166
88.402	165.306	2	1	1	230.300	105.087	164.166
88.096	166.258	2	1	1	201.304	105.087	164.166
87.790	167.210	2	1	1	208.183	105.087	164.166
87.484	168.162	2	1	1	221.563	105.087	164.166
87.178	169.114	2	1	1	251.333	105.087	164.166
86.872	170.066	2	1	1	306.166	105.087	164.166
86.566	171.018	2	1	1	364.025	105.087	164.166
86.260	171.970	2	1	1	470.361	105.087	164.166
85.954	172.922	2	1	1	619.589	105.087	164.166
85.648	173.874	2	1	1	671.116	105.087	164.166
85.342	174.826	2	1	1	707.119	105.087	164.166
85.036	175.778	2	1	1	585.732	105.087	164.166
84.730	176.730	2	1	1	446.246	105.087	164.166
84.424	177.682	2	1	1	355.367	105.087	164.166
84.118	178.634	2	1	1	288.460	105.087	164.166
83.899	179.610	2	1	1	260.789	105.087	164.166
83.736	180.597	2	1	1	254.816	105.087	164.166
83.573	181.584	2	1	1	268.677	105.087	164.166
83.410	182.570	2	1	1	312.947	105.087	164.166
83.247	183.557	2	1	1	400.134	105.087	164.166
83.084	184.543	2	1	1	459.441	105.087	164.166
82.921	185.530	2	1	1	462.423	105.087	164.166
82.758	186.517	2	1	1	464.547	105.087	164.166
82.595	187.503	2	1	1	414.604	105.087	164.166
82.432	188.490	2	1	1	366.606	105.087	164.166
82.269	189.477	2	1	1	327.862	105.087	164.166
82.106	190.463	2	1	1	291.806	105.087	164.166
81.943	191.450	2	1	1	252.756	105.087	164.166
81.780	192.436	2	1	1	235.955	105.087	164.166
81.617	193.423	2	1	1	216.580	105.087	164.166
81.454	194.410	2	1	1	199.731	105.087	164.166
81.291	195.396	2	1	1	193.355	105.087	164.166
81.128	196.383	2	1	1	195.755	105.087	164.166
80.965	197.370	2	1	1	191.339	105.087	164.166
80.813	198.358	2	1	1	192.652	105.087	164.166
80.709	199.352	2	1	1	212.142	105.087	164.166
80.604	200.347	2	1	1	226.886	105.087	164.166
80.499	201.341	2	1	1	234.734	105.087	164.166
80.394	202.336	2	1	1	252.056	105.087	164.166
80.290	203.330	2	1	1	316.426	105.087	164.166
80.185	204.325	2	1	1	452.865	105.087	164.166
80.080	205.319	2	1	1	667.049	105.087	164.166
79.976	206.314	2	1	1	881.037	105.087	164.166
79.871	207.308	2	1	1	969.425	105.087	164.166
79.766	208.303	2	1	1	923.837	105.087	164.166
79.662	209.297	2	1	1	764.492	105.087	164.166
79.557	210.292	2	1	1	625.517	105.087	164.166
79.452	211.286	2	1	1	550.085	105.087	164.166
79.348	212.281	2	1	1	543.875	105.087	164.166
79.243	213.275	2	1	1	649.035	105.087	164.166
79.290	214.274	2	1	1	809.922	105.087	164.166
79.701	215.186	2	1	1	931.198	105.087	164.166
80.111	216.098	2	1	1	966.533	105.087	164.166
80.521	217.010	2	1	1	898.560	105.087	164.166
80.932	217.922	2	1	1	792.543	105.087	164.166
81.342	218.834	2	1	1	717.147	105.087	164.166
81.752	219.746	2	1	1	696.162	105.087	164.166
82.163	220.658	2	1	1	672.635	105.087	164.166
82.573	221.570	2	1	1	582.056	105.087	164.166
82.983	222.482	2	1	1	475.223	105.087	164.166
83.394	223.394	2	1	1	426.621	105.087	164.166
83.804	224.306	2	1	1	398.223	105.087	164.166
84.215	225.217	2	1	1	405.245	105.087	164.166
84.625	226.129	2	1	1	369.099	105.087	164.166
85.035	227.041	2	1	1	337.968	105.087	164.166
85.446	227.953	2	1	1	297.336	105.087	164.166
85.856	228.865	2	1	1	325.453	105.087	164.166
86.266	229.777	2	1	1	375.459	105.087	164.166
86.678	230.688	2	1	1	400.827	105.087	164.166
87.159	231.565	2	1	1	386.658	105.087	164.166
87.640	232.442	2	1	1	329.461	105.087	164.166
88.121	233.319	2	1	1	282.966	105.087	164.166
88.601	234.196	2	1	1	264.117	105.087	164.166
89.082	235.072	2	1	1	268.118	105.087	164.166
89.563	235.949	2	1	1	299.987	105.087	164.166
90.044	236.826	2	1	1	342.962	105.087	164.166
90.524	237.703	2	1	1	427.900	105.087	164.166
91.005	238.580	2	1	1	499.340	105.087	164.166
91.486	239.457	2	1	1	562.404	105.087	164.166
91.967	240.334	2	1	1	581.984	105.087	164.166
92.447	241.211	2	1	1	542.722	105.087	164.166
92.928	242.087	2	1	1	521.066	105.087	164.166
93.409	242.964	2	1	1	483.053	105.087	164.166
93.890	243.841	2	1	1	483.447	105.087	164.166
94.370	244.718	2	1	1	553.080	105.087	164.166
94.851	245.595	2	1	1	593.832	105.087	164.166
95.332	246.472	2	1	1	560.250	105.087	164.166
95.812	247.349	2	1	1	511.388	105.087	164.166
96.293	248.225	2	1	1	508.834	105.087	164.166
