X	Y	C	Z	T	Intensity	BG	MX
135.750	111.500	1	1	1	1008.718	112.974	275.279
134.850	111.937	1	1	1	967.520	112.974	275.279
133.951	112.374	1	1	1	942.582	112.974	275.279
133.051	112.811	1	1	1	950.128	112.974	275.279
132.152	113.248	1	1	1	938.125	112.974	275.279
131.252	113.685	1	1	1	958.233	112.974	275.279
130.353	114.121	1	1	1	958.491	112.974	275.279
129.453	114.558	1	1	1	1004.111	112.974	275.279
128.554	114.995	1	1	1	1032.095	112.974	275.279
127.654	115.432	1	1	1	1072.210	112.974	275.279
126.801	115.953	1	1	1	1068.217	112.974	275.279
126.100	116.667	1	1	1	1089.231	112.974	275.279
125.400	117.380	1	1	1	1073.212	112.974	275.279
124.699	118.094	1	1	1	1089.831	112.974	275.279
123.999	118.808	1	1	1	1042.146	112.974	275.279
123.298	119.521	1	1	1	1036.535	112.974	275.279
122.598	120.235	1	1	1	965.908	112.974	275.279
121.897	120.949	1	1	1	897.198	112.974	275.279
121.197	121.662	1	1	1	884.459	112.974	275.279
120.497	122.376	1	1	1	864.958	112.974	275.279
119.796	123.090	1	1	1	861.239	112.974	275.279
119.096	123.804	1	1	1	860.831	112.974	275.279
118.395	124.517	1	1	1	873.645	112.974	275.279
117.695	125.231	1	1	1	906.038	112.974	275.279
116.994	125.945	1	1	1	950.972	112.974	275.279
116.294	126.658	1	1	1	1033.262	112.974	275.279
115.593	127.372	1	1	1	1072.877	112.974	275.279
114.893	128.086	1	1	1	1103.018	112.974	275.279
114.192	128.799	1	1	1	1115.144	112.974	275.279
113.548	129.564	1	1	1	1141.225	112.974	275.279
113.008	130.406	1	1	1	1156.963	112.974	275.279
112.468	131.248	1	1	1	1118.086	112.974	275.279
111.928	132.089	1	1	1	1084.932	112.974	275.279
111.388	132.931	1	1	1	1063.977	112.974	275.279
110.848	133.773	1	1	1	1026.329	112.974	275.279
110.308	134.614	1	1	1	1080.093	112.974	275.279
109.768	135.456	1	1	1	1110.687	112.974	275.279
109.228	136.298	1	1	1	1075.045	112.974	275.279
108.688	137.139	1	1	1	1087.315	112.974	275.279
108.148	137.981	1	1	1	1089.012	112.974	275.279
107.608	138.822	1	1	1	1082.481	112.974	275.279
107.068	139.664	1	1	1	1094.328	112.974	275.279
106.528	140.506	1	1	1	1063.795	112.974	275.279
105.988	141.347	1	1	1	1044.931	112.974	275.279
105.448	142.189	1	1	1	1075.883	112.974	275.279
104.908	143.031	1	1	1	1104.565	112.974	275.279
104.381	143.880	1	1	1	1073.952	112.974	275.279
103.893	144.753	1	1	1	1071.452	112.974	275.279
103.406	145.627	1	1	1	1096.665	112.974	275.279
102.918	146.500	1	1	1	1102.609	112.974	275.279
102.430	147.373	1	1	1	1053.413	112.974	275.279
101.943	148.246	1	1	1	1060.480	112.974	275.279
101.455	149.119	1	1	1	1028.204	112.974	275.279
100.968	149.992	1	1	1	1022.270	112.974	275.279
100.480	150.865	1	1	1	1004.339	112.974	275.279
99.993	151.738	1	1	1	985.541	112.974	275.279
99.505	152.611	1	1	1	984.385	112.974	275.279
99.017	153.484	1	1	1	987.656	112.974	275.279
98.530	154.357	1	1	1	967.648	112.974	275.279
98.042	155.230	1	1	1	1006.481	112.974	275.279
97.555	156.104	1	1	1	985.671	112.974	275.279
97.087	156.987	1	1	1	1005.478	112.974	275.279
96.635	157.879	1	1	1	1003.565	112.974	275.279
96.183	158.771	1	1	1	996.468	112.974	275.279
95.731	159.664	1	1	1	1076.139	112.974	275.279
95.279	160.556	1	1	1	1176.427	112.974	275.279
94.827	161.448	1	1	1	1248.880	112.974	275.279
94.376	162.340	1	1	1	1250.243	112.974	275.279
93.924	163.232	1	1	1	1247.793	112.974	275.279
93.472	164.124	1	1	1	1186.284	112.974	275.279
93.020	165.016	1	1	1	1094.797	112.974	275.279
92.568	165.908	1	1	1	1072.235	112.974	275.279
92.116	166.800	1	1	1	1055.498	112.974	275.279
91.664	167.692	1	1	1	1058.526	112.974	275.279
91.213	168.585	1	1	1	1063.002	112.974	275.279
90.792	169.492	1	1	1	1079.967	112.974	275.279
90.537	170.459	1	1	1	1037.168	112.974	275.279
90.282	171.426	1	1	1	1010.408	112.974	275.279
90.027	172.393	1	1	1	1029.465	112.974	275.279
89.772	173.360	1	1	1	1009.904	112.974	275.279
89.518	174.327	1	1	1	1047.129	112.974	275.279
89.263	175.294	1	1	1	1067.502	112.974	275.279
89.008	176.260	1	1	1	1077.489	112.974	275.279
88.753	177.227	1	1	1	1105.772	112.974	275.279
88.498	178.194	1	1	1	1084.742	112.974	275.279
88.243	179.161	1	1	1	1087.733	112.974	275.279
87.989	180.128	1	1	1	1096.439	112.974	275.279
87.734	181.095	1	1	1	1142.331	112.974	275.279
87.479	182.062	1	1	1	1220.570	112.974	275.279
87.224	183.029	1	1	1	1194.677	112.974	275.279
86.969	183.996	1	1	1	1223.308	112.974	275.279
86.715	184.963	1	1	1	1252.180	112.974	275.279
86.460	185.930	1	1	1	1286.073	112.974	275.279
86.205	186.897	1	1	1	1286.019	112.974	275.279
85.950	187.864	1	1	1	1289.939	112.974	275.279
85.695	188.831	1	1	1	1339.495	112.974	275.279
85.441	189.798	1	1	1	1361.006	112.974	275.279
85.186	190.765	1	1	1	1422.918	112.974	275.279
84.931	191.732	1	1	1	1547.365	112.974	275.279
84.676	192.699	1	1	1	1606.491	112.974	275.279
84.421	193.666	1	1	1	1569.122	112.974	275.279
84.372	194.665	1	1	1	1456.943	112.974	275.279
84.430	195.663	1	1	1	1405.799	112.974	275.279
84.488	196.662	1	1	1	1337.207	112.974	275.279
84.546	197.660	1	1	1	1298.496	112.974	275.279
84.603	198.658	1	1	1	1276.540	112.974	275.279
84.661	199.657	1	1	1	1246.542	112.974	275.279
84.719	200.655	1	1	1	1193.340	112.974	275.279
84.777	201.653	1	1	1	1186.861	112.974	275.279
84.835	202.652	1	1	1	1149.461	112.974	275.279
84.893	203.650	1	1	1	1150.767	112.974	275.279
84.951	204.648	1	1	1	1182.401	112.974	275.279
85.028	205.645	1	1	1	1156.627	112.974	275.279
85.220	206.627	1	1	1	1115.704	112.974	275.279
85.412	207.608	1	1	1	1116.626	112.974	275.279
85.604	208.589	1	1	1	1089.562	112.974	275.279
85.796	209.571	1	1	1	1071.056	112.974	275.279
85.988	210.552	1	1	1	1067.957	112.974	275.279
86.180	211.534	1	1	1	1068.352	112.974	275.279
86.373	212.515	1	1	1	1055.316	112.974	275.279
86.565	213.496	1	1	1	1094.876	112.974	275.279
86.757	214.478	1	1	1	1080.540	112.974	275.279
86.949	215.459	1	1	1	1064.512	112.974	275.279
87.141	216.441	1	1	1	1092.962	112.974	275.279
87.344	217.420	1	1	1	1082.709	112.974	275.279
87.563	218.395	1	1	1	1065.687	112.974	275.279
87.782	219.371	1	1	1	1065.612	112.974	275.279
88.001	220.347	1	1	1	1028.323	112.974	275.279
88.220	221.323	1	1	1	993.214	112.974	275.279
88.439	222.298	1	1	1	981.834	112.974	275.279
88.658	223.274	1	1	1	939.882	112.974	275.279
88.877	224.250	1	1	1	926.846	112.974	275.279
89.097	225.225	1	1	1	920.852	112.974	275.279
89.316	226.201	1	1	1	932.001	112.974	275.279
89.535	227.177	1	1	1	935.784	112.974	275.279
89.754	228.153	1	1	1	914.155	112.974	275.279
89.973	229.128	1	1	1	910.248	112.974	275.279
90.283	230.079	1	1	1	917.963	112.974	275.279
90.605	231.026	1	1	1	909.220	112.974	275.279
90.928	231.972	1	1	1	898.908	112.974	275.279
91.251	232.919	1	1	1	966.050	112.974	275.279
91.573	233.865	1	1	1	1052.931	112.974	275.279
91.896	234.812	1	1	1	1109.457	112.974	275.279
92.219	235.758	1	1	1	1104.440	112.974	275.279
92.541	236.705	1	1	1	1109.153	112.974	275.279
92.864	237.651	1	1	1	1102.863	112.974	275.279
93.187	238.598	1	1	1	1108.815	112.974	275.279
93.509	239.544	1	1	1	1133.510	112.974	275.279
93.829	240.492	1	1	1	1185.968	112.974	275.279
94.141	241.442	1	1	1	1221.863	112.974	275.279
94.453	242.392	1	1	1	1179.057	112.974	275.279
94.766	243.342	1	1	1	1194.820	112.974	275.279
95.078	244.292	1	1	1	1158.550	112.974	275.279
95.390	245.242	1	1	1	1211.075	112.974	275.279
95.702	246.192	1	1	1	1325.186	112.974	275.279
96.014	247.142	1	1	1	1367.642	112.974	275.279
