X	Y	C	Z	T	Intensity	BG	MX
60.500	156.500	1	1	1	529.500	108.766	149.878
59.631	156.995	1	1	1	555.943	108.766	149.878
58.762	157.489	1	1	1	513.833	108.766	149.878
57.893	157.984	1	1	1	499.767	108.766	149.878
57.024	158.479	1	1	1	506.574	108.766	149.878
56.155	158.973	1	1	1	471.251	108.766	149.878
55.286	159.468	1	1	1	461.294	108.766	149.878
54.417	159.963	1	1	1	436.063	108.766	149.878
53.547	160.458	1	1	1	423.452	108.766	149.878
52.678	160.952	1	1	1	422.788	108.766	149.878
51.809	161.447	1	1	1	428.448	108.766	149.878
50.940	161.942	1	1	1	435.155	108.766	149.878
50.071	162.436	1	1	1	430.423	108.766	149.878
49.202	162.931	1	1	1	395.064	108.766	149.878
48.333	163.426	1	1	1	395.606	108.766	149.878
47.464	163.920	1	1	1	393.364	108.766	149.878
46.595	164.415	1	1	1	403.904	108.766	149.878
45.726	164.910	1	1	1	408.818	108.766	149.878
44.857	165.405	1	1	1	401.154	108.766	149.878
43.986	165.896	1	1	1	411.066	108.766	149.878
43.111	166.380	1	1	1	407.423	108.766	149.878
42.236	166.865	1	1	1	448.525	108.766	149.878
41.361	167.349	1	1	1	496.568	108.766	149.878
40.486	167.833	1	1	1	492.338	108.766	149.878
39.612	168.318	1	1	1	463.129	108.766	149.878
38.737	168.802	1	1	1	437.343	108.766	149.878
37.862	169.286	1	1	1	412.620	108.766	149.878
36.987	169.771	1	1	1	390.866	108.766	149.878
36.112	170.255	1	1	1	410.379	108.766	149.878
35.237	170.739	1	1	1	428.501	108.766	149.878
34.362	171.224	1	1	1	432.586	108.766	149.878
33.487	171.708	1	1	1	472.284	108.766	149.878
32.612	172.192	1	1	1	462.178	108.766	149.878
31.737	172.677	1	1	1	462.469	108.766	149.878
30.863	173.161	1	1	1	458.029	108.766	149.878
30.068	173.769	1	1	1	447.833	108.766	149.878
29.509	174.597	1	1	1	448.098	108.766	149.878
28.949	175.426	1	1	1	406.606	108.766	149.878
28.389	176.254	1	1	1	416.545	108.766	149.878
27.829	177.083	1	1	1	445.798	108.766	149.878
27.269	177.912	1	1	1	489.297	108.766	149.878
26.709	178.740	1	1	1	536.581	108.766	149.878
26.149	179.569	1	1	1	529.537	108.766	149.878
25.590	180.397	1	1	1	510.892	108.766	149.878
25.030	181.226	1	1	1	469.463	108.766	149.878
24.470	182.055	1	1	1	489.921	108.766	149.878
23.987	182.930	1	1	1	455.537	108.766	149.878
23.914	183.928	1	1	1	431.386	108.766	149.878
23.842	184.925	1	1	1	393.834	108.766	149.878
23.769	185.922	1	1	1	397.103	108.766	149.878
23.697	186.920	1	1	1	375.651	108.766	149.878
23.624	187.917	1	1	1	397.985	108.766	149.878
23.552	188.914	1	1	1	385.404	108.766	149.878
23.479	189.912	1	1	1	420.546	108.766	149.878
23.407	190.909	1	1	1	409.039	108.766	149.878
23.334	191.906	1	1	1	426.103	108.766	149.878
23.262	192.904	1	1	1	446.657	108.766	149.878
23.189	193.901	1	1	1	468.582	108.766	149.878
23.116	194.899	1	1	1	461.023	108.766	149.878
23.044	195.896	1	1	1	490.891	108.766	149.878
23.044	196.896	1	1	1	473.038	108.766	149.878
23.154	197.890	1	1	1	477.441	108.766	149.878
23.265	198.884	1	1	1	478.699	108.766	149.878
23.375	199.878	1	1	1	468.681	108.766	149.878
23.486	200.871	1	1	1	446.552	108.766	149.878
23.596	201.865	1	1	1	431.097	108.766	149.878
23.707	202.859	1	1	1	418.823	108.766	149.878
23.817	203.853	1	1	1	424.171	108.766	149.878
23.927	204.847	1	1	1	407.380	108.766	149.878
24.038	205.841	1	1	1	428.307	108.766	149.878
24.148	206.835	1	1	1	467.359	108.766	149.878
24.259	207.829	1	1	1	497.159	108.766	149.878
24.369	208.823	1	1	1	488.645	108.766	149.878
24.480	209.816	1	1	1	461.401	108.766	149.878
24.590	210.810	1	1	1	408.328	108.766	149.878
24.700	211.804	1	1	1	370.209	108.766	149.878
24.811	212.798	1	1	1	335.708	108.766	149.878
24.921	213.792	1	1	1	317.043	108.766	149.878
